[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34558400] {3, 100, 3}.   Buy at 35.25 (34558373). [1, -35.25].
[34563400] {3, 200, 3}.   Buy at 35.25 (34563363). [2, -70.50].
[34567000] {3, 200, 3}.   Buy at 35.25 (34566974). [3, -105.75].
[34568700] {3, 100, 3}.   Buy at 35.25 (34568699). [4, -141.00].
[34573200] {3, 200, 3}.   Buy at 35.25 (34573132). [5, -176.25].
[34787300] {4, 200, 4}.   Buy at 35.46 (34787279). [6, -211.71].
[34787400] {4, 100, 4}.   Buy at 35.46 (34787377). [7, -247.17].
[34787500] {4, 100, 4}.   Buy at 35.46 (34787498). [8, -282.63].
[34792500] {4, 300, 4}.   Buy at 35.50 (34792469). [9, -318.13].
[34793300] {4, 200, 4}.   Buy at 35.50 (34793240). [10, -353.63].
[34802500] {4, 100, 4}.   Buy at 35.50 (34802492). [11, -389.13].
[34818500] {4, 100, 4}.   Buy at 35.50 (34818491). [12, -424.63].
[34827300] {4, 200, 4}.   Buy at 35.50 (34827287). [13, -460.13].
[34834600] {4, 200, 4}.   Buy at 35.50 (34834597). [14, -495.63].
[34850400] {3, 200, 3}.   Buy at 35.64 (34850400). [15, -531.27].
[34901100] {2, 100, 2}.   Buy at 35.74 (34901085). [16, -567.01].
[35155600] {1, 700, 1}.   Buy at 35.44 (35155522). [17, -602.45].
[35194400] {2, 100, 2}.   Buy at 35.53 (35194400). [18, -637.98].
[35194800] {2, -100, 2}. Sell at 35.26 (35194746). [17, -602.72].
[35295900] {4, 100, 4}.   Buy at 35.48 (35295888). [18, -638.20].
[35316700] {3, 100, 3}.   Buy at 35.52 (35316666). [19, -673.72].
[35373200] {1, -1000, 1}. Sell at 35.23 (35373146). [18, -638.49].
[35388800] {3, 200, 3}.   Buy at 35.51 (35388719). [19, -674.00].
[35389500] {3, -100, 3}. Sell at 35.29 (35389436). [18, -638.71].
[35394500] {3, 100, 3}.   Buy at 35.51 (35394441). [19, -674.22].
[35412100] {3, -400, 3}. Sell at 35.27 (35412048). [18, -638.95].
[35703900] {4, 100, 4}.   Buy at 35.48 (35703816). [19, -674.43].
[35716900] {4, 200, 4}.   Buy at 35.51 (35716877). [20, -709.94].
[35718200] {3, -100, 3}. Sell at 35.29 (35718192). [19, -674.65].
[35756800] {4, 100, 4}.   Buy at 35.57 (35756722). [20, -710.22].
[35757300] {4, 100, 4}.   Buy at 35.57 (35757293). [21, -745.79].
[36083500] {4, 100, 4}.   Buy at 35.62 (36083492). [22, -781.41].
[36083600] {4, -100, 4}. Sell at 35.38 (36083573). [21, -746.03].
[36279300] {4, 400, 4}.   Buy at 35.59 (36279248). [22, -781.62].
[36281600] {4, -100, 4}. Sell at 35.43 (36281566). [21, -746.19].
[37202500] {4, 200, 4}.   Buy at 35.67 (37202493). [22, -781.86].
[37207500] {3, -200, 3}. Sell at 35.51 (37207493). [21, -746.35].
[37832000] {1, 400, 1}.   Buy at 35.62 (37831936). [22, -781.97].
[37861100] {1, -200, 1}. Sell at 35.42 (37861044). [21, -746.55].
[37871100] {1, -100, 1}. Sell at 35.41 (37871060). [20, -711.14].
[37900800] {2, 100, 2}.   Buy at 35.61 (37900725). [21, -746.75].
[37901700] {4, 200, 4}.   Buy at 35.61 (37901690). [22, -782.36].
[37928600] {4, 100, 4}.   Buy at 35.71 (37928571). [23, -818.07].
[37952900] {4, -100, 4}. Sell at 35.58 (37952850). [22, -782.49].
[37955100] {4, -100, 4}. Sell at 35.58 (37955011). [21, -746.91].
[37995000] {3, 200, 3}.   Buy at 35.67 (37994974). [22, -782.58].
[37997200] {4, 200, 4}.   Buy at 35.71 (37997177). [23, -818.29].
[38049100] {4, -200, 4}. Sell at 35.55 (38049011). [22, -782.74].
[38358000] {1, -100, 1}. Sell at 35.52 (38357928). [21, -747.22].
[38437000] {1, 400, 1}.   Buy at 35.71 (38436999). [22, -782.93].
[38476300] {1, -400, 1}. Sell at 35.52 (38476278). [21, -747.41].
[38476600] {3, -100, 3}. Sell at 35.52 (38476590). [20, -711.89].
[38633700] {1, 200, 1}.   Buy at 35.69 (38633657). [21, -747.58].
[38658900] {1, 400, 1}.   Buy at 35.66 (38658811). [22, -783.24].
[38663000] {1, -100, 1}. Sell at 35.44 (38662937). [21, -747.80].
[38668200] {1, -400, 1}. Sell at 35.44 (38668200). [20, -712.36].
[38704200] {1, -400, 1}. Sell at 35.44 (38704141). [19, -676.92].
[38704400] {1, 400, 1}.   Buy at 35.64 (38704315). [20, -712.56].
[38712200] {1, -400, 1}. Sell at 35.44 (38712137). [19, -677.12].
[38716200] {1, -400, 1}. Sell at 35.40 (38716168). [18, -641.72].
[38725800] {4, 100, 4}.   Buy at 35.63 (38725767). [19, -677.35].
[38726200] {4, -100, 4}. Sell at 35.42 (38726188). [18, -641.93].
[38726800] {4, -100, 4}. Sell at 35.42 (38726772). [17, -606.51].
[38728500] {4, 100, 4}.   Buy at 35.62 (38728496). [18, -642.13].
