[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34201500] {2, -1500, 2}. Sell at 895.81 (34201496). [-1, 895.81].
[34201600] {2, -800, 2}. Sell at 895.73 (34201584). [-2, 1791.54].
[34201700] {2, 200, 2}.   Buy at 896.25 (34201669). [-1, 895.29].
[34202300] {2, 600, 2}.   Buy at 896.09 (34202294). [0, -0.80].
[34202800] {2, 1800, 2}.   Buy at 896.09 (34202793). [1, -896.89].
[34202900] {2, -1800, 2}. Sell at 895.75 (34202896). [0, -1.14].
[34203200] {2, -2500, 2}. Sell at 895.50 (34203199). [-1, 894.36].
[34209400] {1, -100, 1}. Sell at 895.50 (34209400). [-2, 1789.86].
[34210500] {3, 1900, 3}.   Buy at 895.83 (34210480). [-1, 894.03].
[34212200] {3, -500, 3}. Sell at 895.64 (34212158). [-2, 1789.67].
[34214200] {2, -500, 2}. Sell at 895.59 (34214184). [-3, 2685.26].
[34215200] {3, -500, 3}. Sell at 895.54 (34215187). [-4, 3580.80].
[34215300] {3, -400, 3}. Sell at 895.50 (34215295). [-5, 4476.30].
[34220400] {1, -2500, 1}. Sell at 894.04 (34220369). [-6, 5370.34].
[34227000] {2, 3700, 2}.   Buy at 894.76 (34226966). [-5, 4475.58].
[34235200] {2, 800, 2}.   Buy at 894.39 (34235171). [-4, 3581.19].
[34238800] {3, 2200, 3}.   Buy at 894.86 (34238728). [-3, 2686.33].
[34247900] {1, 2500, 1}.   Buy at 896.25 (34247889). [-2, 1790.08].
[34248800] {1, 1000, 1}.   Buy at 896.24 (34248797). [-1, 893.84].
[34248900] {1, 1800, 1}.   Buy at 896.24 (34248868). [0, -2.40].
[34249000] {1, 1400, 1}.   Buy at 896.47 (34248999). [1, -898.87].
[34249100] {1, 1600, 1}.   Buy at 896.47 (34249003). [2, -1795.34].
[34249200] {1, 1800, 1}.   Buy at 896.47 (34249150). [3, -2691.81].
[34252300] {2, 2300, 2}.   Buy at 896.74 (34252292). [4, -3588.55].
[34252400] {2, 1200, 2}.   Buy at 896.74 (34252396). [5, -4485.29].
[34252900] {3, 200, 3}.   Buy at 896.88 (34252878). [6, -5382.17].
[34253400] {1, 500, 1}.   Buy at 897.00 (34253394). [7, -6279.17].
[34253600] {2, -2100, 2}. Sell at 896.71 (34253555). [6, -5382.46].
[34253700] {2, -300, 2}. Sell at 896.68 (34253619). [5, -4485.78].
[34256000] {2, 800, 2}.   Buy at 897.24 (34255943). [6, -5383.02].
[34258000] {3, 100, 3}.   Buy at 897.68 (34257964). [7, -6280.70].
[34258500] {2, -200, 2}. Sell at 897.53 (34258416). [6, -5383.17].
[34260100] {2, 2400, 2}.   Buy at 897.85 (34260090). [7, -6281.02].
[34260400] {3, 300, 3}.   Buy at 897.89 (34260399). [8, -7178.91].
[34260600] {2, 200, 2}.   Buy at 897.99 (34260555). [9, -8076.90].
[34263300] {2, -4100, 2}. Sell at 897.34 (34263275). [8, -7179.56].
[34264700] {2, 300, 2}.   Buy at 897.78 (34264662). [9, -8077.34].
[34265500] {2, -300, 2}. Sell at 897.37 (34265410). [8, -7179.97].
[34267800] {2, -3700, 2}. Sell at 897.00 (34267799). [7, -6282.97].
[34267900] {2, -3200, 2}. Sell at 896.68 (34267899). [6, -5386.29].
[34272200] {2, -3300, 2}. Sell at 896.68 (34272200). [5, -4489.61].
[34272500] {2, 1000, 2}.   Buy at 897.30 (34272445). [6, -5386.91].
[34272800] {2, -2200, 2}. Sell at 896.68 (34272772). [5, -4490.23].
[34279500] {2, 100, 2}.   Buy at 896.86 (34279473). [6, -5387.09].
[34280500] {2, 300, 2}.   Buy at 896.85 (34280407). [7, -6283.94].
[34282400] {2, 200, 2}.   Buy at 896.91 (34282394). [8, -7180.85].
[34283500] {2, -2900, 2}. Sell at 896.57 (34283456). [7, -6284.28].
[34287500] {2, -1100, 2}. Sell at 896.57 (34287452). [6, -5387.71].
[34287900] {2, 200, 2}.   Buy at 897.01 (34287855). [7, -6284.72].
[34291000] {2, 900, 2}.   Buy at 897.01 (34290991). [8, -7181.73].
[34293000] {2, 1100, 2}.   Buy at 897.01 (34292980). [9, -8078.74].
[34293800] {2, -1100, 2}. Sell at 896.75 (34293752). [8, -7181.99].
[34296000] {2, 2500, 2}.   Buy at 897.01 (34295988). [9, -8079.00].
[34299900] {2, 1000, 2}.   Buy at 897.00 (34299880). [10, -8976.00].
[34302600] {1, 600, 1}.   Buy at 897.24 (34302573). [11, -9873.24].
[34310500] {3, 2400, 3}.   Buy at 898.02 (34310499). [12, -10771.26].
[34311900] {2, 300, 2}.   Buy at 898.17 (34311899). [13, -11669.43].
[34312200] {2, 700, 2}.   Buy at 898.48 (34312195). [14, -12567.91].
[34312400] {2, -700, 2}. Sell at 897.64 (34312349). [13, -11670.27].
[34312800] {1, 200, 1}.   Buy at 898.48 (34312717). [14, -12568.75].
[34312900] {1, 300, 1}.   Buy at 898.48 (34312839). [15, -13467.23].
[34313100] {1, 100, 1}.   Buy at 898.48 (34313033). [16, -14365.71].
[34313300] {1, 1600, 1}.   Buy at 898.48 (34313235). [17, -15264.19].
[34315500] {2, 400, 2}.   Buy at 898.26 (34315484). [18, -16162.45].
[34315700] {2, 1800, 2}.   Buy at 898.26 (34315662). [19, -17060.71].
[34315800] {2, -200, 2}. Sell at 897.84 (34315763). [18, -16162.87].
[34316100] {2, 200, 2}.   Buy at 898.26 (34316079). [19, -17061.13].
[34316200] {2, 100, 2}.   Buy at 898.26 (34316162). [20, -17959.39].
[34316300] {2, 1500, 2}.   Buy at 898.26 (34316252). [21, -18857.65].
[34316400] {2, 700, 2}.   Buy at 898.25 (34316306). [22, -19755.90].
[34317600] {1, 200, 1}.   Buy at 898.25 (34317564). [23, -20654.15].
[34317800] {1, 400, 1}.   Buy at 898.25 (34317773). [24, -21552.40].
[34318000] {1, 500, 1}.   Buy at 898.25 (34318000). [25, -22450.65].
[34318300] {1, 600, 1}.   Buy at 898.25 (34318278). [26, -23348.90].
