[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34200400] {3, 200, 3}.   Buy at 23.89 (34200400). [1, -23.89].
[34201000] {1, -100, 1}. Sell at 23.87 (34200973). [0, -0.02].
[34203000] {1, -100, 1}. Sell at 23.88 (34202998). [-1, 23.86].
[34203200] {1, 100, 1}.   Buy at 23.90 (34203191). [0, -0.04].
[34203400] {1, -100, 1}. Sell at 23.88 (34203392). [-1, 23.84].
[34203500] {1, 100, 1}.   Buy at 23.90 (34203498). [0, -0.06].
[34203700] {1, -100, 1}. Sell at 23.88 (34203639). [-1, 23.82].
[34204600] {1, -100, 1}. Sell at 23.87 (34204599). [-2, 47.69].
[34207600] {3, 100, 3}.   Buy at 23.88 (34207518). [-1, 23.81].
[34212600] {3, -100, 3}. Sell at 23.84 (34212592). [-2, 47.65].
[34219200] {4, 100, 4}.   Buy at 23.84 (34219200). [-1, 23.81].
[34219500] {3, -100, 3}. Sell at 23.82 (34219500). [-2, 47.63].
[34256800] {3, -100, 3}. Sell at 23.82 (34256786). [-3, 71.45].
[34266100] {3, 100, 3}.   Buy at 23.86 (34266085). [-2, 47.59].
[34273700] {2, -100, 2}. Sell at 23.87 (34273693). [-3, 71.46].
[34274400] {3, 100, 3}.   Buy at 23.89 (34274393). [-2, 47.57].
[34308700] {4, 100, 4}.   Buy at 23.88 (34308648). [-1, 23.69].
[34315300] {3, -100, 3}. Sell at 23.87 (34315274). [-2, 47.56].
[34318700] {4, 100, 4}.   Buy at 23.89 (34318647). [-1, 23.67].
[34321400] {2, 100, 2}.   Buy at 23.91 (34321399). [0, -0.24].
[34329700] {3, -100, 3}. Sell at 23.90 (34329691). [-1, 23.66].
[34361500] {2, 100, 2}.   Buy at 23.93 (34361490). [0, -0.27].
[34380000] {4, 100, 4}.   Buy at 23.92 (34380000). [1, -24.19].
[34380600] {2, 100, 2}.   Buy at 23.94 (34380595). [2, -48.13].
[34402600] {4, 100, 4}.   Buy at 23.98 (34402560). [3, -72.11].
[34415100] {3, -100, 3}. Sell at 23.96 (34415076). [2, -48.15].
[34416000] {4, 100, 4}.   Buy at 23.98 (34415995). [3, -72.13].
[34432500] {4, -100, 4}. Sell at 23.96 (34432481). [2, -48.17].
[34435900] {1, 100, 1}.   Buy at 24.00 (34435896). [3, -72.17].
[34456000] {2, 100, 2}.   Buy at 24.02 (34455992). [4, -96.19].
[34463000] {4, -100, 4}. Sell at 24.02 (34462973). [3, -72.17].
[34478000] {3, -200, 3}. Sell at 24.04 (34477977). [2, -48.13].
[34479000] {4, 100, 4}.   Buy at 24.07 (34478996). [3, -72.20].
[34480900] {3, 100, 3}.   Buy at 24.08 (34480899). [4, -96.28].
[34481300] {2, -300, 2}. Sell at 24.04 (34481298). [3, -72.24].
[34497600] {2, -100, 2}. Sell at 24.02 (34497540). [2, -48.22].
[34500900] {3, 100, 3}.   Buy at 24.04 (34500895). [3, -72.26].
[34511800] {4, -300, 1}. Sell at 24.00 (34511799). [2, -48.26].
[34514000] {2, -100, 2}. Sell at 24.01 (34513991). [1, -24.25].
[34514600] {2, -100, 2}. Sell at 24.01 (34514599). [0, -0.24].
[34516200] {3, -100, 3}. Sell at 24.01 (34516169). [-1, 23.77].
[34520900] {4, 100, 4}.   Buy at 24.03 (34520900). [0, -0.26].
[34522600] {4, 100, 4}.   Buy at 24.04 (34522598). [1, -24.30].
[34524600] {2, -100, 2}. Sell at 24.03 (34524535). [0, -0.27].
[34525500] {2, 100, 2}.   Buy at 24.05 (34525440). [1, -24.32].
[34525600] {2, -100, 2}. Sell at 24.03 (34525540). [0, -0.29].
[34530600] {3, 100, 3}.   Buy at 24.06 (34530591). [1, -24.35].
[34531100] {3, -100, 3}. Sell at 24.04 (34531092). [0, -0.31].
[34531800] {2, 100, 2}.   Buy at 24.06 (34531797). [1, -24.37].
[34531900] {2, -100, 2}. Sell at 24.04 (34531872). [0, -0.33].
[34536000] {4, 100, 4}.   Buy at 24.07 (34535936). [1, -24.40].
[34541000] {4, 100, 4}.   Buy at 24.06 (34540974). [2, -48.46].
[34541200] {2, -200, 2}. Sell at 24.05 (34541200). [1, -24.41].
[34543100] {3, 100, 3}.   Buy at 24.07 (34543089). [2, -48.48].
[34554100] {4, 100, 4}.   Buy at 24.07 (34554067). [3, -72.55].
[34554600] {4, 200, 4}.   Buy at 24.08 (34554598). [4, -96.63].
[34560900] {2, -100, 2}. Sell at 24.04 (34560889). [3, -72.59].
[34561300] {4, 100, 4}.   Buy at 24.06 (34561300). [4, -96.65].
[34566300] {3, 100, 3}.   Buy at 24.06 (34566282). [5, -120.71].
[34571400] {3, 100, 3}.   Buy at 24.06 (34571357). [6, -144.77].
[34571900] {2, -100, 2}. Sell at 24.03 (34571896). [5, -120.74].
[34580500] {3, 100, 3}.   Buy at 24.07 (34580492). [6, -144.81].
[34591100] {3, 100, 3}.   Buy at 24.02 (34591097). [7, -168.83].
[34593700] {3, 100, 3}.   Buy at 24.02 (34593673). [8, -192.85].
[34599400] {3, -100, 3}. Sell at 24.00 (34599365). [7, -168.85].
[34601500] {3, 100, 3}.   Buy at 24.02 (34601451). [8, -192.87].
[34602300] {3, 100, 3}.   Buy at 24.03 (34602224). [9, -216.90].
[34610600] {2, -100, 2}. Sell at 24.01 (34610589). [8, -192.89].
[34647300] {2, -100, 2}. Sell at 23.99 (34647300). [7, -168.90].
[34647600] {4, 100, 4}.   Buy at 24.01 (34647559). [8, -192.91].
[34674000] {2, -100, 2}. Sell at 24.01 (34674000). [7, -168.90].
[34691300] {2, -100, 2}. Sell at 24.00 (34691300). [6, -144.90].
[34716500] {1, -100, 1}. Sell at 23.97 (34716489). [5, -120.93].
[34731400] {1, -100, 1}. Sell at 23.97 (34731344). [4, -96.96].
[34732000] {2, 100, 2}.   Buy at 23.99 (34731998). [5, -120.95].
[34732500] {1, -100, 1}. Sell at 23.97 (34732500). [4, -96.98].
[34753600] {2, -100, 2}. Sell at 23.96 (34753567). [3, -73.02].
[34754600] {1, -100, 1}. Sell at 23.95 (34754571). [2, -49.07].
[34757200] {2, -100, 2}. Sell at 23.94 (34757172). [1, -25.13].
[34763900] {4, 100, 4}.   Buy at 23.96 (34763854). [2, -49.09].
[34765800] {2, -100, 2}. Sell at 23.92 (34765787). [1, -25.17].
[34766000] {3, 100, 3}.   Buy at 23.94 (34765929). [2, -49.11].
