[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34203700] {2, -600, 2}. Sell at 35.59 (34203616). [-1, 35.59].
[34206400] {3, -400, 3}. Sell at 35.59 (34206400). [-2, 71.18].
[34206600] {2, -200, 2}. Sell at 35.60 (34206559). [-3, 106.78].
[34264600] {2, 200, 2}.   Buy at 35.64 (34264580). [-2, 71.14].
[34276700] {3, 100, 3}.   Buy at 35.70 (34276697). [-1, 35.44].
[34294600] {3, 100, 3}.   Buy at 35.75 (34294578). [0, -0.31].
[34306400] {2, 200, 2}.   Buy at 35.75 (34306386). [1, -36.06].
[34306500] {2, -100, 2}. Sell at 35.71 (34306483). [0, -0.35].
[34322400] {3, 100, 3}.   Buy at 35.76 (34322400). [1, -36.11].
[34330700] {2, -200, 2}. Sell at 35.71 (34330700). [0, -0.40].
[34335300] {2, 100, 2}.   Buy at 35.68 (34335296). [1, -36.08].
[34336100] {1, -100, 1}. Sell at 35.66 (34336076). [0, -0.42].
[34336700] {1, 100, 1}.   Buy at 35.68 (34336656). [1, -36.10].
[34338300] {1, 200, 1}.   Buy at 35.72 (34338246). [2, -71.82].
[34338400] {1, -100, 1}. Sell at 35.66 (34338379). [1, -36.16].
[34339000] {1, -300, 1}. Sell at 35.66 (34338998). [0, -0.50].
[34356200] {3, 200, 3}.   Buy at 35.76 (34356173). [1, -36.26].
[34360600] {2, -100, 2}. Sell at 35.74 (34360599). [0, -0.52].
[34368100] {2, 100, 2}.   Buy at 35.76 (34368071). [1, -36.28].
[34370300] {2, -100, 2}. Sell at 35.74 (34370278). [0, -0.54].
[34375400] {2, -600, 2}. Sell at 35.68 (34375346). [-1, 35.14].
[34393100] {2, 300, 2}.   Buy at 35.69 (34393096). [0, -0.55].
[34395600] {1, -200, 1}. Sell at 35.62 (34395543). [-1, 35.07].
[34397700] {1, -200, 1}. Sell at 35.59 (34397678). [-2, 70.66].
[34419200] {1, -400, 1}. Sell at 35.63 (34419101). [-3, 106.29].
[34419900] {2, 200, 2}.   Buy at 35.73 (34419808). [-2, 70.56].
[34427400] {2, 500, 2}.   Buy at 35.77 (34427333). [-1, 34.79].
[34427500] {2, -500, 2}. Sell at 35.68 (34427467). [-2, 70.47].
[34471000] {3, 400, 3}.   Buy at 35.73 (34470952). [-1, 34.74].
[34480700] {2, -500, 2}. Sell at 35.65 (34480678). [-2, 70.39].
[34500800] {2, 300, 2}.   Buy at 35.71 (34500779). [-1, 34.68].
[34501000] {1, -400, 1}. Sell at 35.63 (34500950). [-2, 70.31].
[34502500] {1, 100, 1}.   Buy at 35.71 (34502467). [-1, 34.60].
[34502600] {1, -100, 1}. Sell at 35.67 (34502596). [-2, 70.27].
[34543700] {2, -400, 2}. Sell at 35.63 (34543673). [-3, 105.90].
[34592900] {1, -200, 1}. Sell at 35.59 (34592870). [-4, 141.49].
