[34202100] IB_p=3, DS_p=100, IB_c=4. Buy asset.
[34209800] IB_p=3, DS_p=100, IB_c=3. Buy asset.
[34416300] IB_p=7, DS_p=200, IB_c=7. Buy asset.
[34515000] IB_p=3, DS_p=-100, IB_c=3. Sell asset.
[34952500] IB_p=7, DS_p=100, IB_c=7. Buy asset.
[35012000] IB_p=3, DS_p=-100, IB_c=3. Sell asset.
[35373900] IB_p=5, DS_p=-100, IB_c=5. Sell asset.
[36197800] IB_p=4, DS_p=100, IB_c=4. Buy asset.
[38289400] IB_p=4, DS_p=-100, IB_c=4. Sell asset.
[39091600] IB_p=3, DS_p=100, IB_c=3. Buy asset.
[39591400] IB_p=4, DS_p=100, IB_c=4. Buy asset.
[41979800] IB_p=8, DS_p=100, IB_c=8. Buy asset.
[43490400] IB_p=5, DS_p=100, IB_c=5. Buy asset.
[44707000] IB_p=4, DS_p=100, IB_c=4. Buy asset.
[46633400] IB_p=3, DS_p=-100, IB_c=3. Sell asset.
[47892000] IB_p=3, DS_p=-100, IB_c=3. Sell asset.
[52806000] IB_p=6, DS_p=100, IB_c=6. Buy asset.
[53966600] IB_p=5, DS_p=100, IB_c=5. Buy asset.
[56831000] IB_p=4, DS_p=100, IB_c=4. Buy asset.
[56877900] IB_p=5, DS_p=100, IB_c=5. Buy asset.
[57230000] IB_p=4, DS_p=100, IB_c=4. Buy asset.
[57599600] Liquiding long position 9 shares at 339700.
[57599600] Final cash: 0.
