[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34205200] {3, -100, 3}. Sell at 33.80 (34205190). [-1, 33.80].
[34207600] {2, 100, 2}.   Buy at 33.83 (34207600). [0, -0.03].
[34208800] {2, 100, 2}.   Buy at 33.83 (34208800). [1, -33.86].
[34210800] {2, 100, 2}.   Buy at 33.83 (34210800). [2, -67.69].
[34212000] {2, -100, 2}. Sell at 33.81 (34211948). [1, -33.88].
[34212800] {1, -200, 1}. Sell at 33.80 (34212799). [0, -0.08].
[34216000] {3, -100, 3}. Sell at 33.77 (34215957). [-1, 33.69].
[34228800] {4, 100, 4}.   Buy at 33.74 (34228800). [0, -0.05].
[34232400] {2, -100, 2}. Sell at 33.70 (34232263). [-1, 33.65].
[34253200] {1, -100, 1}. Sell at 33.70 (34253010). [-2, 67.35].
[34259200] {1, 400, 1}.   Buy at 33.77 (34259199). [-1, 33.58].
[34260000] {2, 100, 2}.   Buy at 33.81 (34259989). [0, -0.23].
[34262400] {3, 300, 3}.   Buy at 33.89 (34262355). [1, -34.12].
[34263200] {2, -100, 2}. Sell at 33.85 (34263135). [0, -0.27].
[34263600] {2, 200, 2}.   Buy at 33.89 (34263567). [1, -34.16].
[34269200] {3, -800, 3}. Sell at 33.77 (34269155). [0, -0.39].
[34276800] {2, 100, 2}.   Buy at 33.85 (34276727). [1, -34.24].
[34277200] {2, -100, 2}. Sell at 33.83 (34277124). [0, -0.41].
[34286400] {2, -100, 2}. Sell at 33.82 (34286101). [-1, 33.41].
[34298800] {1, -100, 1}. Sell at 33.80 (34298762). [-2, 67.21].
[34302000] {4, 100, 4}.   Buy at 33.82 (34301978). [-1, 33.39].
[34314800] {2, -100, 2}. Sell at 33.82 (34314418). [-2, 67.21].
[34318400] {1, 100, 1}.   Buy at 33.85 (34318391). [-1, 33.36].
[34333200] {3, -200, 3}. Sell at 33.82 (34333086). [-2, 67.18].
[34346000] {2, -100, 2}. Sell at 33.81 (34345964). [-3, 100.99].
[34348000] {4, 200, 4}.   Buy at 33.86 (34347988). [-2, 67.13].
[34351600] {4, 100, 4}.   Buy at 33.88 (34351484). [-1, 33.25].
[34357600] {1, 100, 1}.   Buy at 33.90 (34357379). [0, -0.65].
[34358400] {1, -100, 1}. Sell at 33.88 (34358400). [-1, 33.23].
[34368400] {2, -100, 2}. Sell at 33.87 (34368391). [-2, 67.10].
[34376400] {4, -100, 4}. Sell at 33.87 (34376202). [-3, 100.97].
[34376800] {4, -100, 4}. Sell at 33.87 (34376726). [-4, 134.84].
[34380000] {1, 100, 1}.   Buy at 33.90 (34380000). [-3, 100.94].
[34385200] {1, 100, 1}.   Buy at 33.90 (34385007). [-2, 67.04].
[34420000] {3, -100, 3}. Sell at 33.92 (34419907). [-3, 100.96].
[34422800] {3, -100, 3}. Sell at 33.92 (34422639). [-4, 134.88].
[34440800] {1, 100, 1}.   Buy at 33.96 (34440772). [-3, 100.92].
[34442000] {2, 100, 2}.   Buy at 33.95 (34441805). [-2, 66.97].
[34488400] {3, 100, 3}.   Buy at 33.94 (34488395). [-1, 33.03].
[34490800] {3, 100, 3}.   Buy at 33.94 (34490588). [0, -0.91].
[34514000] {2, -100, 2}. Sell at 33.91 (34513753). [-1, 33.00].
[34530000] {3, 100, 3}.   Buy at 33.92 (34529936). [0, -0.92].
[34544000] {2, -100, 2}. Sell at 33.90 (34543941). [-1, 32.98].
[34562800] {2, -100, 2}. Sell at 33.84 (34562743). [-2, 66.82].
[34570400] {2, -100, 2}. Sell at 33.82 (34570395). [-3, 100.64].
[34572800] {1, -100, 1}. Sell at 33.82 (34572684). [-4, 134.46].
[34596400] {3, 200, 3}.   Buy at 33.87 (34596264). [-3, 100.59].
[34606000] {2, 100, 2}.   Buy at 33.90 (34605846). [-2, 66.69].
[34631200] {4, 100, 4}.   Buy at 33.95 (34631191). [-1, 32.74].
[34640000] {2, 100, 2}.   Buy at 33.94 (34639978). [0, -1.20].
[34641200] {2, 200, 2}.   Buy at 33.96 (34641199). [1, -35.16].
[34662000] {1, 100, 1}.   Buy at 33.94 (34661998). [2, -69.10].
[34680000] {4, 100, 4}.   Buy at 33.95 (34679868). [3, -103.05].
[34693600] {4, 100, 4}.   Buy at 33.98 (34693581). [4, -137.03].
[34700000] {2, -100, 2}. Sell at 33.97 (34699783). [3, -103.06].
[34732400] {2, -200, 2}. Sell at 33.94 (34732157). [2, -69.12].
[34739600] {1, -100, 1}. Sell at 33.93 (34739596). [1, -35.19].
[34742800] {2, -100, 2}. Sell at 33.91 (34742704). [0, -1.28].
[34766400] {3, 100, 3}.   Buy at 33.93 (34766297). [1, -35.21].
[34774400] {3, 100, 3}.   Buy at 33.99 (34774394). [2, -69.20].
[34775200] {2, 100, 2}.   Buy at 33.99 (34775131). [3, -103.19].
[34801600] {2, -100, 2}. Sell at 33.97 (34801505). [2, -69.22].
[34804800] {2, -100, 2}. Sell at 33.96 (34804628). [1, -35.26].
[34806800] {2, -100, 2}. Sell at 33.95 (34806761). [0, -1.31].
[34813200] {1, -100, 1}. Sell at 33.93 (34813113). [-1, 32.62].
[34817200] {3, 100, 3}.   Buy at 33.95 (34817161). [0, -1.33].
[34824000] {2, -100, 2}. Sell at 33.93 (34823841). [-1, 32.60].
[34849200] {1, -100, 1}. Sell at 33.90 (34849129). [-2, 66.50].
[34857200] {1, -100, 1}. Sell at 33.93 (34857171). [-3, 100.43].
[34869600] {2, -100, 2}. Sell at 33.92 (34869598). [-4, 134.35].
[34872400] {1, -100, 1}. Sell at 33.91 (34872393). [-5, 168.26].
[34892800] {3, 200, 3}.   Buy at 33.93 (34892796). [-4, 134.33].
[34932400] {1, -100, 1}. Sell at 33.92 (34932376). [-5, 168.25].
[34933200] {2, -100, 2}. Sell at 33.91 (34933174). [-6, 202.16].
[34935600] {1, -100, 1}. Sell at 33.90 (34935388). [-7, 236.06].
[34938800] {3, 100, 3}.   Buy at 33.92 (34938763). [-6, 202.14].
[34955200] {3, -100, 3}. Sell at 33.91 (34955054). [-7, 236.05].
[34971600] {3, 100, 3}.   Buy at 33.93 (34971591). [-6, 202.12].
[34980400] {2, 100, 2}.   Buy at 33.94 (34980400). [-5, 168.18].
[34983200] {3, 100, 3}.   Buy at 33.95 (34983185). [-4, 134.23].
[35010800] {1, -200, 1}. Sell at 33.90 (35010742). [-5, 168.13].
[35033200] {3, 100, 3}.   Buy at 33.93 (35033189). [-4, 134.20].
[35038400] {4, 100, 4}.   Buy at 33.94 (35038391). [-3, 100.26].
[35121200] {2, 100, 2}.   Buy at 33.94 (35121198). [-2, 66.32].
[35164400] {3, 100, 3}.   Buy at 33.95 (35164394). [-1, 32.37].
[35166000] {4, 100, 4}.   Buy at 33.96 (35165997). [0, -1.59].
[35230000] {1, -100, 1}. Sell at 33.95 (35229974). [-1, 32.36].
[35310400] {3, 100, 3}.   Buy at 33.96 (35310393). [0, -1.60].
[35333600] {4, 200, 4}.   Buy at 33.99 (35333600). [1, -35.59].
[35362800] {3, 100, 3}.   Buy at 34.02 (35362788). [2, -69.61].
[35372800] {2, -200, 2}. Sell at 33.99 (35372754). [1, -35.62].
[35378400] {2, -100, 2}. Sell at 33.98 (35378392). [0, -1.64].
[35379600] {3, -200, 3}. Sell at 33.96 (35379450). [-1, 32.32].
[35399600] {2, -100, 2}. Sell at 33.95 (35399575). [-2, 66.27].
[35448800] {3, 100, 3}.   Buy at 33.98 (35448777). [-1, 32.29].
[35458400] {4, 100, 4}.   Buy at 33.99 (35458391). [0, -1.70].
[35468000] {2, -100, 2}. Sell at 33.96 (35467982). [-1, 32.26].
[35517200] {3, 100, 3}.   Buy at 33.96 (35517182). [0, -1.70].
[35615600] {3, 100, 3}.   Buy at 33.97 (35615434). [1, -35.67].
[35770800] {2, -100, 2}. Sell at 33.96 (35770617). [0, -1.71].
[35795200] {2, -200, 2}. Sell at 33.94 (35795171). [-1, 32.23].
[35884400] {4, 100, 4}.   Buy at 33.94 (35884366). [0, -1.71].
[36048000] {1, -100, 1}. Sell at 33.89 (36047700). [-1, 32.18].
[36053600] {1, 100, 1}.   Buy at 33.91 (36053518). [0, -1.73].
[36066000] {3, 100, 3}.   Buy at 33.92 (36065917). [1, -35.65].
[36066800] {3, 100, 3}.   Buy at 33.93 (36066793). [2, -69.58].
[36146000] {2, -100, 2}. Sell at 33.94 (36145974). [1, -35.64].
[36173200] {4, 100, 4}.   Buy at 33.98 (36173200). [2, -69.62].
[36196400] {2, -100, 2}. Sell at 33.96 (36196394). [1, -35.66].
[36196800] {2, 100, 2}.   Buy at 33.98 (36196552). [2, -69.64].
[36221600] {3, 100, 3}.   Buy at 33.99 (36221593). [3, -103.63].
[36222000] {3, 100, 3}.   Buy at 34.00 (36222000). [4, -137.63].
[36273600] {1, 100, 1}.   Buy at 34.01 (36273351). [5, -171.64].
[36394000] {3, 100, 3}.   Buy at 34.03 (36393952). [6, -205.67].
[36399200] {3, 100, 3}.   Buy at 34.04 (36399168). [7, -239.71].
[36593200] {2, -200, 2}. Sell at 34.01 (36593176). [6, -205.70].
[36594400] {2, -100, 2}. Sell at 34.00 (36594387). [5, -171.70].
[36598000] {1, -100, 1}. Sell at 33.99 (36597950). [4, -137.71].
[36598800] {2, -200, 2}. Sell at 33.97 (36598767). [3, -103.74].
[36599200] {2, -100, 2}. Sell at 33.96 (36599172). [2, -69.78].
[36788400] {2, -100, 2}. Sell at 33.96 (36788391). [1, -35.82].
[36802800] {2, -100, 2}. Sell at 33.95 (36802769). [0, -1.87].
[36829600] {3, 100, 3}.   Buy at 33.96 (36829551). [1, -35.83].
[36855200] {3, 100, 3}.   Buy at 33.97 (36855199). [2, -69.80].
[36865200] {3, -100, 3}. Sell at 33.94 (36865197). [1, -35.86].
[36892000] {3, 100, 3}.   Buy at 33.96 (36891936). [2, -69.82].
[36916800] {2, -100, 2}. Sell at 33.93 (36916792). [1, -35.89].
[36943600] {1, -100, 1}. Sell at 33.92 (36943600). [0, -1.97].
[36975600] {2, -100, 2}. Sell at 33.92 (36975585). [-1, 31.95].
[36980000] {2, -100, 2}. Sell at 33.91 (36979963). [-2, 65.86].
[36984400] {3, 100, 3}.   Buy at 33.92 (36984378). [-1, 31.94].
[37019200] {3, 100, 3}.   Buy at 33.92 (37019166). [0, -1.98].
[37108000] {3, 100, 3}.   Buy at 33.95 (37107998). [1, -35.93].
[37111200] {4, -200, 4}. Sell at 33.92 (37111197). [0, -2.01].
[37175600] {4, 100, 4}.   Buy at 33.93 (37175540). [1, -35.94].
[37218800] {4, 100, 4}.   Buy at 33.94 (37218800). [2, -69.88].
[37246400] {4, 100, 4}.   Buy at 33.96 (37246400). [3, -103.84].
[37253600] {4, 100, 4}.   Buy at 33.97 (37253589). [4, -137.81].
[37265600] {3, -100, 3}. Sell at 33.95 (37265451). [3, -103.86].
[37429200] {2, -100, 2}. Sell at 33.94 (37429192). [2, -69.92].
[37459600] {1, -100, 1}. Sell at 33.94 (37459590). [1, -35.98].
[37476400] {1, -100, 1}. Sell at 33.94 (37476296). [0, -2.04].
[37598800] {3, 200, 3}.   Buy at 33.98 (37598796). [1, -36.02].
[37692800] {3, 100, 3}.   Buy at 33.99 (37692793). [2, -70.01].
[37748800] {3, -100, 3}. Sell at 33.98 (37748744). [1, -36.03].
[37825200] {3, 100, 3}.   Buy at 34.00 (37825188). [2, -70.03].
[37834000] {1, -100, 1}. Sell at 33.98 (37833978). [1, -36.05].
[37837600] {1, -100, 1}. Sell at 33.97 (37837585). [0, -2.08].
[37848400] {2, 100, 2}.   Buy at 33.99 (37848391). [1, -36.07].
[37991200] {3, 100, 3}.   Buy at 34.02 (37991197). [2, -70.09].
[37993600] {2, -100, 2}. Sell at 34.00 (37993600). [1, -36.09].
[38028800] {3, 100, 3}.   Buy at 34.02 (38028788). [2, -70.11].
[38142800] {2, -100, 2}. Sell at 34.02 (38142783). [1, -36.09].
[38288400] {2, -100, 2}. Sell at 34.01 (38288392). [0, -2.08].
[38390000] {3, 100, 3}.   Buy at 34.05 (38389984). [1, -36.13].
[38450400] {4, 100, 4}.   Buy at 34.05 (38450398). [2, -70.18].
[38727600] {3, 100, 3}.   Buy at 34.05 (38727594). [3, -104.23].
[38888400] {3, 100, 3}.   Buy at 34.06 (38888400). [4, -138.29].
[38928400] {2, -100, 2}. Sell at 34.03 (38928391). [3, -104.26].
[39029600] {3, 100, 3}.   Buy at 34.03 (39029593). [4, -138.29].
[39034400] {3, 100, 3}.   Buy at 34.04 (39034349). [5, -172.33].
[39074400] {2, -100, 2}. Sell at 34.03 (39074382). [4, -138.30].
[39109600] {4, 100, 4}.   Buy at 34.05 (39109599). [5, -172.35].
[39332800] {2, -100, 2}. Sell at 34.02 (39332685). [4, -138.33].
