[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34205200] {3, -100, 3}. Sell at 33.80 (34205190). [-1, 33.80].
[34207600] {2, 100, 2}.   Buy at 33.81 (34207600). [0, -0.01].
[34208800] {2, 100, 2}.   Buy at 33.82 (34208800). [1, -33.83].
[34210800] {2, 100, 2}.   Buy at 33.82 (34210800). [2, -67.65].
[34212000] {2, -100, 2}. Sell at 33.81 (34211948). [1, -33.84].
[34212800] {1, -200, 1}. Sell at 33.80 (34212799). [0, -0.04].
[34216000] {3, -100, 3}. Sell at 33.77 (34215957). [-1, 33.73].
[34228800] {4, 100, 4}.   Buy at 33.73 (34228800). [0, 0.00].
[34232400] {2, -100, 2}. Sell at 33.70 (34232263). [-1, 33.70].
[34253200] {1, -100, 1}. Sell at 33.70 (34253010). [-2, 67.40].
[34259200] {1, 400, 1}.   Buy at 33.75 (34259199). [-1, 33.65].
[34260000] {2, 100, 2}.   Buy at 33.78 (34259989). [0, -0.13].
[34262400] {3, 300, 3}.   Buy at 33.85 (34262355). [1, -33.98].
[34263200] {2, -100, 2}. Sell at 33.85 (34263135). [0, -0.13].
[34263600] {2, 200, 2}.   Buy at 33.87 (34263567). [1, -34.00].
[34269200] {3, -800, 3}. Sell at 33.77 (34269155). [0, -0.23].
[34276800] {2, 100, 2}.   Buy at 33.84 (34276727). [1, -34.07].
[34277200] {2, -100, 2}. Sell at 33.83 (34277124). [0, -0.24].
[34286400] {2, -100, 2}. Sell at 33.82 (34286101). [-1, 33.58].
[34298800] {1, -100, 1}. Sell at 33.80 (34298762). [-2, 67.38].
[34302000] {4, 100, 4}.   Buy at 33.81 (34301978). [-1, 33.57].
[34314800] {2, -100, 2}. Sell at 33.82 (34314418). [-2, 67.39].
[34318400] {1, 100, 1}.   Buy at 33.83 (34318391). [-1, 33.56].
[34333200] {3, -200, 3}. Sell at 33.82 (34333086). [-2, 67.38].
[34346000] {2, -100, 2}. Sell at 33.81 (34345964). [-3, 101.19].
[34348000] {4, 200, 4}.   Buy at 33.85 (34347988). [-2, 67.34].
[34351600] {4, 100, 4}.   Buy at 33.87 (34351484). [-1, 33.47].
[34357600] {1, 100, 1}.   Buy at 33.89 (34357379). [0, -0.42].
[34358400] {1, -100, 1}. Sell at 33.88 (34358400). [-1, 33.46].
[34368400] {2, -100, 2}. Sell at 33.87 (34368391). [-2, 67.33].
[34376400] {4, -100, 4}. Sell at 33.87 (34376202). [-3, 101.20].
[34376800] {4, -100, 4}. Sell at 33.87 (34376726). [-4, 135.07].
[34380000] {1, 100, 1}.   Buy at 33.89 (34380000). [-3, 101.18].
[34385200] {1, 100, 1}.   Buy at 33.89 (34385007). [-2, 67.29].
[34420000] {3, -100, 3}. Sell at 33.92 (34419907). [-3, 101.21].
[34422800] {3, -100, 3}. Sell at 33.92 (34422639). [-4, 135.13].
[34440800] {1, 100, 1}.   Buy at 33.95 (34440772). [-3, 101.18].
[34442000] {2, 100, 2}.   Buy at 33.94 (34441805). [-2, 67.24].
[34488400] {3, 100, 3}.   Buy at 33.93 (34488395). [-1, 33.31].
[34490800] {3, 100, 3}.   Buy at 33.93 (34490588). [0, -0.62].
[34514000] {2, -100, 2}. Sell at 33.91 (34513753). [-1, 33.29].
[34530000] {3, 100, 3}.   Buy at 33.91 (34529936). [0, -0.62].
[34544000] {2, -100, 2}. Sell at 33.90 (34543941). [-1, 33.28].
[34562800] {2, -100, 2}. Sell at 33.84 (34562743). [-2, 67.12].
[34570400] {2, -100, 2}. Sell at 33.82 (34570395). [-3, 100.94].
[34572800] {1, -100, 1}. Sell at 33.82 (34572684). [-4, 134.76].
[34596400] {3, 200, 3}.   Buy at 33.86 (34596264). [-3, 100.90].
[34606000] {2, 100, 2}.   Buy at 33.89 (34605846). [-2, 67.01].
[34631200] {4, 100, 4}.   Buy at 33.94 (34631191). [-1, 33.07].
[34640000] {2, 100, 2}.   Buy at 33.93 (34639978). [0, -0.86].
[34641200] {2, 200, 2}.   Buy at 33.95 (34641199). [1, -34.81].
[34662000] {1, 100, 1}.   Buy at 33.93 (34661998). [2, -68.74].
[34680000] {4, 100, 4}.   Buy at 33.94 (34679868). [3, -102.68].
[34693600] {4, 100, 4}.   Buy at 33.97 (34693581). [4, -136.65].
[34700000] {2, -100, 2}. Sell at 33.97 (34699783). [3, -102.68].
[34732400] {2, -200, 2}. Sell at 33.94 (34732157). [2, -68.74].
[34739600] {1, -100, 1}. Sell at 33.93 (34739596). [1, -34.81].
[34742800] {2, -100, 2}. Sell at 33.91 (34742704). [0, -0.90].
[34766400] {3, 100, 3}.   Buy at 33.92 (34766297). [1, -34.82].
[34774400] {3, 100, 3}.   Buy at 33.97 (34774394). [2, -68.79].
[34775200] {2, 100, 2}.   Buy at 33.98 (34775131). [3, -102.77].
[34801600] {2, -100, 2}. Sell at 33.97 (34801505). [2, -68.80].
[34804800] {2, -100, 2}. Sell at 33.96 (34804628). [1, -34.84].
[34806800] {2, -100, 2}. Sell at 33.95 (34806761). [0, -0.89].
[34813200] {1, -100, 1}. Sell at 33.93 (34813113). [-1, 33.04].
[34817200] {3, 100, 3}.   Buy at 33.94 (34817161). [0, -0.90].
[34824000] {2, -100, 2}. Sell at 33.93 (34823841). [-1, 33.03].
[34849200] {1, -100, 1}. Sell at 33.90 (34849129). [-2, 66.93].
[34857200] {1, -100, 1}. Sell at 33.93 (34857171). [-3, 100.86].
[34869600] {2, -100, 2}. Sell at 33.92 (34869598). [-4, 134.78].
[34872400] {1, -100, 1}. Sell at 33.91 (34872393). [-5, 168.69].
[34892800] {3, 200, 3}.   Buy at 33.92 (34892796). [-4, 134.77].
[34932400] {1, -100, 1}. Sell at 33.92 (34932376). [-5, 168.69].
[34933200] {2, -100, 2}. Sell at 33.91 (34933174). [-6, 202.60].
[34935600] {1, -100, 1}. Sell at 33.90 (34935388). [-7, 236.50].
[34938800] {3, 100, 3}.   Buy at 33.91 (34938763). [-6, 202.59].
[34955200] {3, -100, 3}. Sell at 33.91 (34955054). [-7, 236.50].
[34971600] {3, 100, 3}.   Buy at 33.92 (34971591). [-6, 202.58].
[34980400] {2, 100, 2}.   Buy at 33.93 (34980400). [-5, 168.65].
[34983200] {3, 100, 3}.   Buy at 33.94 (34983185). [-4, 134.71].
[35010800] {1, -200, 1}. Sell at 33.90 (35010742). [-5, 168.61].
[35033200] {3, 100, 3}.   Buy at 33.92 (35033189). [-4, 134.69].
[35038400] {4, 100, 4}.   Buy at 33.93 (35038391). [-3, 100.76].
[35121200] {2, 100, 2}.   Buy at 33.93 (35121198). [-2, 66.83].
[35164400] {3, 100, 3}.   Buy at 33.94 (35164394). [-1, 32.89].
[35166000] {4, 100, 4}.   Buy at 33.95 (35165997). [0, -1.06].
[35230000] {1, -100, 1}. Sell at 33.95 (35229974). [-1, 32.89].
[35310400] {3, 100, 3}.   Buy at 33.95 (35310393). [0, -1.06].
[35333600] {4, 200, 4}.   Buy at 33.98 (35333600). [1, -35.04].
[35362800] {3, 100, 3}.   Buy at 34.01 (35362788). [2, -69.05].
[35372800] {2, -200, 2}. Sell at 33.99 (35372754). [1, -35.06].
[35378400] {2, -100, 2}. Sell at 33.98 (35378392). [0, -1.08].
[35379600] {3, -200, 3}. Sell at 33.96 (35379450). [-1, 32.88].
[35399600] {2, -100, 2}. Sell at 33.95 (35399575). [-2, 66.83].
[35448800] {3, 100, 3}.   Buy at 33.97 (35448777). [-1, 32.86].
[35458400] {4, 100, 4}.   Buy at 33.98 (35458391). [0, -1.12].
[35468000] {2, -100, 2}. Sell at 33.96 (35467982). [-1, 32.84].
[35517200] {3, 100, 3}.   Buy at 33.95 (35517182). [0, -1.11].
[35615600] {3, 100, 3}.   Buy at 33.96 (35615434). [1, -35.07].
[35770800] {2, -100, 2}. Sell at 33.96 (35770617). [0, -1.11].
[35795200] {2, -200, 2}. Sell at 33.94 (35795171). [-1, 32.83].
[35884400] {4, 100, 4}.   Buy at 33.93 (35884366). [0, -1.10].
[36048000] {1, -100, 1}. Sell at 33.89 (36047700). [-1, 32.79].
[36053600] {1, 100, 1}.   Buy at 33.90 (36053518). [0, -1.11].
[36066000] {3, 100, 3}.   Buy at 33.91 (36065917). [1, -35.02].
[36066800] {3, 100, 3}.   Buy at 33.92 (36066793). [2, -68.94].
[36146000] {2, -100, 2}. Sell at 33.94 (36145974). [1, -35.00].
[36173200] {4, 100, 4}.   Buy at 33.97 (36173200). [2, -68.97].
[36196400] {2, -100, 2}. Sell at 33.96 (36196394). [1, -35.01].
[36196800] {2, 100, 2}.   Buy at 33.97 (36196552). [2, -68.98].
[36221600] {3, 100, 3}.   Buy at 33.98 (36221593). [3, -102.96].
[36222000] {3, 100, 3}.   Buy at 33.99 (36222000). [4, -136.95].
[36273600] {1, 100, 1}.   Buy at 34.00 (36273351). [5, -170.95].
[36394000] {3, 100, 3}.   Buy at 34.02 (36393952). [6, -204.97].
[36399200] {3, 100, 3}.   Buy at 34.03 (36399168). [7, -239.00].
[36593200] {2, -200, 2}. Sell at 34.01 (36593176). [6, -204.99].
[36594400] {2, -100, 2}. Sell at 34.00 (36594387). [5, -170.99].
[36598000] {1, -100, 1}. Sell at 33.99 (36597950). [4, -137.00].
[36598800] {2, -200, 2}. Sell at 33.97 (36598767). [3, -103.03].
[36599200] {2, -100, 2}. Sell at 33.96 (36599172). [2, -69.07].
[36788400] {2, -100, 2}. Sell at 33.96 (36788391). [1, -35.11].
[36802800] {2, -100, 2}. Sell at 33.95 (36802769). [0, -1.16].
[36829600] {3, 100, 3}.   Buy at 33.95 (36829551). [1, -35.11].
[36855200] {3, 100, 3}.   Buy at 33.96 (36855199). [2, -69.07].
[36865200] {3, -100, 3}. Sell at 33.94 (36865197). [1, -35.13].
[36892000] {3, 100, 3}.   Buy at 33.95 (36891936). [2, -69.08].
[36916800] {2, -100, 2}. Sell at 33.93 (36916792). [1, -35.15].
[36943600] {1, -100, 1}. Sell at 33.92 (36943600). [0, -1.23].
[36975600] {2, -100, 2}. Sell at 33.92 (36975585). [-1, 32.69].
[36980000] {2, -100, 2}. Sell at 33.91 (36979963). [-2, 66.60].
[36984400] {3, 100, 3}.   Buy at 33.91 (36984378). [-1, 32.69].
[37019200] {3, 100, 3}.   Buy at 33.91 (37019166). [0, -1.22].
[37108000] {3, 100, 3}.   Buy at 33.94 (37107998). [1, -35.16].
[37111200] {4, -200, 4}. Sell at 33.92 (37111197). [0, -1.24].
[37175600] {4, 100, 4}.   Buy at 33.92 (37175540). [1, -35.16].
[37218800] {4, 100, 4}.   Buy at 33.93 (37218800). [2, -69.09].
[37246400] {4, 100, 4}.   Buy at 33.95 (37246400). [3, -103.04].
[37253600] {4, 100, 4}.   Buy at 33.96 (37253589). [4, -137.00].
[37265600] {3, -100, 3}. Sell at 33.95 (37265451). [3, -103.05].
[37429200] {2, -100, 2}. Sell at 33.94 (37429192). [2, -69.11].
[37459600] {1, -100, 1}. Sell at 33.94 (37459590). [1, -35.17].
[37476400] {1, -100, 1}. Sell at 33.94 (37476296). [0, -1.23].
[37598800] {3, 200, 3}.   Buy at 33.97 (37598796). [1, -35.20].
[37692800] {3, 100, 3}.   Buy at 33.98 (37692793). [2, -69.18].
[37748800] {3, -100, 3}. Sell at 33.98 (37748744). [1, -35.20].
[37825200] {3, 100, 3}.   Buy at 33.99 (37825188). [2, -69.19].
[37834000] {1, -100, 1}. Sell at 33.98 (37833978). [1, -35.21].
[37837600] {1, -100, 1}. Sell at 33.97 (37837585). [0, -1.24].
[37848400] {2, 100, 2}.   Buy at 33.98 (37848391). [1, -35.22].
[37991200] {3, 100, 3}.   Buy at 34.01 (37991197). [2, -69.23].
[37993600] {2, -100, 2}. Sell at 34.00 (37993600). [1, -35.23].
[38028800] {3, 100, 3}.   Buy at 34.01 (38028788). [2, -69.24].
[38142800] {2, -100, 2}. Sell at 34.02 (38142783). [1, -35.22].
[38288400] {2, -100, 2}. Sell at 34.01 (38288392). [0, -1.21].
[38390000] {3, 100, 3}.   Buy at 34.04 (38389984). [1, -35.25].
[38450400] {4, 100, 4}.   Buy at 34.04 (38450398). [2, -69.29].
[38727600] {3, 100, 3}.   Buy at 34.04 (38727594). [3, -103.33].
[38888400] {3, 100, 3}.   Buy at 34.05 (38888400). [4, -137.38].
[38928400] {2, -100, 2}. Sell at 34.03 (38928391). [3, -103.35].
[39029600] {3, 100, 3}.   Buy at 34.02 (39029593). [4, -137.37].
[39034400] {3, 100, 3}.   Buy at 34.03 (39034349). [5, -171.40].
[39074400] {2, -100, 2}. Sell at 34.03 (39074382). [4, -137.37].
[39109600] {4, 100, 4}.   Buy at 34.04 (39109599). [5, -171.41].
[39332800] {2, -100, 2}. Sell at 34.02 (39332685). [4, -137.39].
[39362000] {3, -100, 3}. Sell at 33.99 (39362000). [3, -103.40].
[39370800] {3, 100, 3}.   Buy at 34.02 (39370740). [4, -137.42].
[39406000] {2, -100, 2}. Sell at 34.00 (39405976). [3, -103.42].
[39443200] {3, 100, 3}.   Buy at 34.00 (39443181). [4, -137.42].
[39468000] {1, -100, 1}. Sell at 33.99 (39467994). [3, -103.43].
[39528400] {1, -100, 1}. Sell at 33.98 (39528314). [2, -69.45].
[39568400] {1, -100, 1}. Sell at 33.96 (39568357). [1, -35.49].
[39576800] {3, 100, 3}.   Buy at 33.96 (39576761). [2, -69.45].
[39579600] {3, 100, 3}.   Buy at 33.97 (39579598). [3, -103.42].
[39590400] {2, 100, 2}.   Buy at 33.97 (39590311). [4, -137.39].
[39592400] {3, 200, 3}.   Buy at 34.00 (39592397). [5, -171.39].
[39712000] {3, 100, 3}.   Buy at 34.01 (39711935). [6, -205.40].
[39726800] {4, 100, 4}.   Buy at 34.02 (39726784). [7, -239.42].
[39756000] {2, -100, 2}. Sell at 34.03 (39755957). [6, -205.39].
[39785200] {2, 100, 2}.   Buy at 34.03 (39785200). [7, -239.42].
[40140800] {3, 100, 3}.   Buy at 34.05 (40140795). [8, -273.47].
[40141200] {3, 100, 3}.   Buy at 34.06 (40141190). [9, -307.53].
[40159600] {2, -100, 2}. Sell at 34.04 (40159559). [8, -273.49].
[40328400] {3, -100, 3}. Sell at 34.07 (40328317). [7, -239.42].
[40352800] {2, -100, 2}. Sell at 34.06 (40352724). [6, -205.36].
[40378400] {2, 100, 2}.   Buy at 34.07 (40378392). [7, -239.43].
[40493600] {2, -100, 2}. Sell at 34.07 (40493600). [6, -205.36].
[40498800] {2, -100, 2}. Sell at 34.06 (40498797). [5, -171.30].
[40524400] {3, 100, 3}.   Buy at 34.08 (40524354). [6, -205.38].
[40528400] {1, -100, 1}. Sell at 34.08 (40528398). [5, -171.30].
[40657600] {3, 100, 3}.   Buy at 34.07 (40657589). [6, -205.37].
[40710800] {1, -100, 1}. Sell at 34.07 (40710784). [5, -171.30].
[40782400] {2, 100, 2}.   Buy at 34.07 (40782392). [6, -205.37].
[40854000] {1, -100, 1}. Sell at 34.07 (40853998). [5, -171.30].
[40916400] {3, 100, 3}.   Buy at 34.07 (40916376). [6, -205.37].
[41232800] {2, -100, 2}. Sell at 34.03 (41232786). [5, -171.34].
[41353600] {2, 100, 2}.   Buy at 34.05 (41353506). [6, -205.39].
[41355200] {2, -100, 2}. Sell at 34.04 (41355200). [5, -171.35].
[41356800] {2, -100, 2}. Sell at 34.03 (41356735). [4, -137.32].
[41362800] {2, -100, 2}. Sell at 34.03 (41362781). [3, -103.29].
[41427200] {3, 100, 3}.   Buy at 34.02 (41427200). [4, -137.31].
[41452400] {2, -100, 2}. Sell at 34.02 (41452383). [3, -103.29].
[41554800] {3, 100, 3}.   Buy at 34.03 (41554756). [4, -137.32].
