[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34201600] {2, 300, 2}.   Buy at 110.47 (34201572). [1, -110.47].
[34204000] {2, -200, 2}. Sell back long 1 at 110.38 (34203987). [0, -0.09].
[34204000] {2, -200, 2}. Sell at 110.38 (34203987). [-1, 110.29].
[34204800] {2, -500, 2}. Sell at 110.33 (34204780). [-2, 220.62].
[34205600] {2, -100, 2}. Sell at 110.32 (34205200). [-3, 330.94].
[34213600] {1, -300, 1}. Sell at 110.40 (34213524). [-4, 441.34].
[34220800] {3, 300, 3}. Buy back short -4 at 110.40 (34220660). [0, -0.26].
[34220800] {3, 300, 3}.   Buy at 110.40 (34220660). [1, -110.66].
[34224800] {1, 100, 1}.   Buy at 110.47 (34224445). [2, -221.13].
[34227200] {1, 1700, 1}.   Buy at 110.47 (34226834). [3, -331.60].
[34235200] {1, 100, 1}.   Buy at 110.42 (34234919). [4, -442.02].
[34241600] {1, 200, 1}.   Buy at 110.42 (34241518). [5, -552.44].
[34243200] {1, 300, 1}.   Buy at 110.42 (34242947). [6, -662.86].
[34244000] {1, 400, 1}.   Buy at 110.42 (34243977). [7, -773.28].
[34244800] {1, 400, 1}.   Buy at 110.42 (34244703). [8, -883.70].
[34245600] {1, -300, 1}. Sell back long 8 at 110.31 (34245083). [0, -1.22].
[34245600] {1, -300, 1}. Sell at 110.31 (34245083). [-1, 109.09].
[34247200] {1, 300, 1}. Buy back short -1 at 110.42 (34247184). [0, -1.33].
[34247200] {1, 300, 1}.   Buy at 110.42 (34247184). [1, -111.75].
[34248000] {1, 200, 1}.   Buy at 110.42 (34247243). [2, -222.17].
[34248800] {1, 100, 1}.   Buy at 110.42 (34248263). [3, -332.59].
[34249600] {1, 200, 1}.   Buy at 110.42 (34249371). [4, -443.01].
[34250400] {1, 100, 1}.   Buy at 110.42 (34250397). [5, -553.43].
[34251200] {1, 200, 1}.   Buy at 110.42 (34250447). [6, -663.85].
[34252000] {1, 200, 1}.   Buy at 110.42 (34251873). [7, -774.27].
[34252800] {1, 200, 1}.   Buy at 110.42 (34252601). [8, -884.69].
[34253600] {1, 300, 1}.   Buy at 110.42 (34252894). [9, -995.11].
[34254400] {1, 500, 1}.   Buy at 110.47 (34254201). [10, -1105.58].
[34255200] {1, -600, 1}. Sell back long 10 at 110.33 (34255005). [0, -2.28].
[34255200] {1, -600, 1}. Sell at 110.33 (34255005). [-1, 108.05].
[34262400] {1, 300, 1}. Buy back short -1 at 110.47 (34262051). [0, -2.42].
[34262400] {1, 300, 1}.   Buy at 110.47 (34262051). [1, -112.89].
[34268800] {2, 100, 2}.   Buy at 110.47 (34268758). [2, -223.36].
[34269600] {2, -100, 2}. Sell back long 2 at 110.39 (34269375). [0, -2.58].
[34269600] {2, -100, 2}. Sell at 110.39 (34269375). [-1, 107.81].
[34276000] {1, -100, 1}. Sell at 110.39 (34275831). [-2, 218.20].
[34280800] {1, 100, 1}. Buy back short -2 at 110.50 (34280704). [0, -2.80].
[34280800] {1, 100, 1}.   Buy at 110.50 (34280704). [1, -113.30].
[34281600] {1, -100, 1}. Sell back long 1 at 110.39 (34280947). [0, -2.91].
[34281600] {1, -100, 1}. Sell at 110.39 (34280947). [-1, 107.48].
[34282400] {1, 100, 1}. Buy back short -1 at 110.50 (34281959). [0, -3.02].
[34282400] {1, 100, 1}.   Buy at 110.50 (34281959). [1, -113.52].
[34296000] {1, 100, 1}.   Buy at 110.50 (34295911). [2, -224.02].
[34296800] {1, 300, 1}.   Buy at 110.50 (34296059). [3, -334.52].
[34303200] {1, -200, 1}. Sell back long 3 at 110.43 (34303008). [0, -3.23].
[34303200] {1, -200, 1}. Sell at 110.43 (34303008). [-1, 107.20].
[34308000] {1, 100, 1}. Buy back short -1 at 110.50 (34307962). [0, -3.30].
[34308000] {1, 100, 1}.   Buy at 110.50 (34307962). [1, -113.80].
[34313600] {1, 100, 1}.   Buy at 110.50 (34313033). [2, -224.30].
[34322400] {1, 100, 1}.   Buy at 110.50 (34322032). [3, -334.80].
[34330400] {2, 300, 2}.   Buy at 110.59 (34330146). [4, -445.39].
[34352800] {1, 100, 1}.   Buy at 110.59 (34352425). [5, -555.98].
[34354400] {1, 100, 1}.   Buy at 110.59 (34354393). [6, -666.57].
[34356000] {1, 100, 1}.   Buy at 110.59 (34355700). [7, -777.16].
[34356800] {1, 100, 1}.   Buy at 110.59 (34356790). [8, -887.75].
[34358400] {1, 100, 1}.   Buy at 110.59 (34358173). [9, -998.34].
[34359200] {1, -400, 1}. Sell back long 9 at 110.51 (34359162). [0, -3.75].
[34359200] {1, -400, 1}. Sell at 110.51 (34359162). [-1, 106.76].
