[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34201000] {2, 600, 2}.   Buy at 439.19 (34201000). [1, -439.19].
[34201100] {2, 100, 2}.   Buy at 439.24 (34201062). [2, -878.43].
[34201200] {2, -1400, 2}. Sell at 439.03 (34201164). [1, -439.40].
[34201300] {2, -100, 2}. Sell at 439.02 (34201283). [0, -0.38].
[34201400] {2, 1100, 2}.   Buy at 439.19 (34201394). [1, -439.57].
[34201900] {2, 1400, 2}.   Buy at 439.50 (34201857). [2, -879.07].
[34202400] {2, -500, 2}. Sell at 439.16 (34202347). [1, -439.91].
[34203200] {2, 300, 2}.   Buy at 439.50 (34203192). [2, -879.41].
[34203400] {1, -400, 1}. Sell at 439.15 (34203399). [1, -440.26].
[34203600] {2, -9300, 2}. Sell at 438.20 (34203600). [0, -2.06].
[34206300] {3, -100, 3}. Sell at 438.25 (34206296). [-1, 436.19].
[34207000] {2, -400, 2}. Sell at 438.42 (34206999). [-2, 874.61].
[34207400] {2, -100, 2}. Sell at 438.24 (34207394). [-3, 1312.85].
[34208000] {2, 4100, 2}.   Buy at 438.61 (34207999). [-2, 874.24].
[34208500] {3, -700, 3}. Sell at 438.01 (34208473). [-3, 1312.25].
[34209200] {3, -100, 3}. Sell at 437.99 (34209200). [-4, 1750.24].
[34209700] {2, 100, 2}.   Buy at 438.42 (34209699). [-3, 1311.82].
[34209900] {2, -600, 2}. Sell at 438.00 (34209892). [-4, 1749.82].
[34211400] {3, 100, 3}.   Buy at 438.61 (34211398). [-3, 1311.21].
[34211800] {2, -200, 2}. Sell at 437.99 (34211791). [-4, 1749.20].
[34212000] {3, -100, 3}. Sell at 437.97 (34211993). [-5, 2187.17].
[34213200] {3, 2000, 3}.   Buy at 438.23 (34213200). [-4, 1748.94].
[34213400] {3, 100, 3}.   Buy at 438.24 (34213373). [-3, 1310.70].
[34213600] {2, -100, 2}. Sell at 438.17 (34213590). [-4, 1748.87].
[34213700] {2, 100, 2}.   Buy at 438.27 (34213675). [-3, 1310.60].
[34213900] {2, -100, 2}. Sell at 438.17 (34213825). [-4, 1748.77].
[34215600] {2, 1500, 2}.   Buy at 438.31 (34215595). [-3, 1310.46].
[34215700] {2, 200, 2}.   Buy at 438.41 (34215693). [-2, 872.05].
[34215800] {2, 700, 2}.   Buy at 438.41 (34215796). [-1, 433.64].
[34218100] {3, 100, 3}.   Buy at 438.19 (34218077). [0, -4.55].
[34218200] {3, -100, 3}. Sell at 438.10 (34218188). [-1, 433.55].
[34219300] {2, 300, 2}.   Buy at 438.41 (34219278). [0, -4.86].
[34219700] {2, 200, 2}.   Buy at 438.48 (34219693). [1, -443.34].
[34220000] {1, 100, 1}.   Buy at 438.50 (34219994). [2, -881.84].
[34220100] {1, 100, 1}.   Buy at 438.50 (34220068). [3, -1320.34].
[34220500] {2, 900, 2}.   Buy at 438.79 (34220491). [4, -1759.13].
[34221100] {3, 100, 3}.   Buy at 438.62 (34221073). [5, -2197.75].
[34222200] {3, 100, 3}.   Buy at 438.76 (34222198). [6, -2636.51].
[34223400] {2, 200, 2}.   Buy at 438.70 (34223398). [7, -3075.21].
[34223500] {2, 200, 2}.   Buy at 438.85 (34223489). [8, -3514.06].
[34225000] {2, 100, 2}.   Buy at 438.85 (34225000). [9, -3952.91].
[34226900] {3, 100, 3}.   Buy at 438.85 (34226867). [10, -4391.76].
[34227000] {3, 100, 3}.   Buy at 438.85 (34226990). [11, -4830.61].
[34227400] {2, 100, 2}.   Buy at 438.94 (34227392). [12, -5269.55].
[34227600] {2, 400, 2}.   Buy at 438.95 (34227597). [13, -5708.50].
[34228000] {2, 100, 2}.   Buy at 438.95 (34227993). [14, -6147.45].
[34228400] {1, 100, 1}.   Buy at 439.00 (34228381). [15, -6586.45].
[34229000] {2, 100, 2}.   Buy at 439.49 (34228988). [16, -7025.94].
[34233500] {3, 1700, 3}.   Buy at 439.47 (34233489). [17, -7465.41].
[34233700] {3, -1600, 3}. Sell at 439.14 (34233693). [16, -7026.27].
[34236500] {3, -100, 3}. Sell at 439.14 (34236488). [15, -6587.13].
[34237300] {3, 200, 3}.   Buy at 439.46 (34237241). [16, -7026.59].
[34237900] {3, -5200, 3}. Sell at 438.62 (34237876). [15, -6587.97].
[34238600] {1, 2400, 1}.   Buy at 439.14 (34238590). [16, -7027.11].
[34240200] {2, 100, 2}.   Buy at 439.40 (34240120). [17, -7466.51].
[34240800] {2, 100, 2}.   Buy at 439.40 (34240798). [18, -7905.91].
[34241800] {3, -2000, 3}. Sell at 439.00 (34241729). [17, -7466.91].
[34243500] {3, 100, 3}.   Buy at 439.13 (34243487). [18, -7906.04].
[34244200] {2, -1600, 2}. Sell at 438.85 (34244174). [17, -7467.19].
[34244800] {2, -100, 2}. Sell at 438.62 (34244776). [16, -7028.57].
[34245800] {2, 100, 2}.   Buy at 438.87 (34245788). [17, -7467.44].
[34246200] {3, -400, 3}. Sell at 438.59 (34246169). [16, -7028.85].
[34246300] {3, 200, 3}.   Buy at 438.85 (34246262). [17, -7467.70].
[34246800] {2, -1300, 2}. Sell at 438.46 (34246779). [16, -7029.24].
[34247100] {2, 100, 2}.   Buy at 438.73 (34247095). [17, -7467.97].
[34247200] {2, -700, 2}. Sell at 438.40 (34247188). [16, -7029.57].
[34249400] {3, 3000, 3}.   Buy at 439.20 (34249397). [17, -7468.77].
[34249500] {3, 100, 3}.   Buy at 439.20 (34249435). [18, -7907.97].
[34249800] {3, 200, 3}.   Buy at 439.00 (34249769). [19, -8346.97].
[34250700] {3, -800, 3}. Sell at 438.66 (34250668). [18, -7908.31].
