[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34201200] {3, 200, 3}.   Buy at 38.40 (34201127). [1, -38.40].
[34204200] {2, 200, 2}.   Buy at 38.39 (34203900). [2, -76.79].
[34204800] {2, -100, 2}. Sell at 38.28 (34204664). [1, -38.51].
[34205400] {2, 100, 2}.   Buy at 38.38 (34205330). [2, -76.89].
[34209000] {2, 100, 2}.   Buy at 38.38 (34208886). [3, -115.27].
[34213200] {2, -100, 2}. Sell at 38.28 (34213102). [2, -76.99].
[34214400] {3, 100, 3}.   Buy at 38.36 (34214215). [3, -115.35].
[34219200] {2, 100, 2}.   Buy at 38.35 (34218991). [4, -153.70].
[34233600] {2, -100, 2}. Sell at 38.28 (34233497). [3, -115.42].
[34242000] {2, 100, 2}.   Buy at 38.34 (34241801). [4, -153.76].
[34252200] {2, 100, 2}.   Buy at 38.34 (34252026). [5, -192.10].
[34252800] {2, -100, 2}. Sell at 38.28 (34252595). [4, -153.82].
[34254000] {2, 100, 2}.   Buy at 38.34 (34253984). [5, -192.16].
[34262400] {2, 100, 2}.   Buy at 38.35 (34262378). [6, -230.51].
[34263000] {2, -100, 2}. Sell at 38.29 (34262927). [5, -192.22].
[34264200] {2, 100, 2}.   Buy at 38.34 (34264178). [6, -230.56].
[34264800] {2, -100, 2}. Sell at 38.29 (34264702). [5, -192.27].
[34266000] {2, 300, 2}.   Buy at 38.34 (34265946). [6, -230.61].
[34266600] {2, -200, 2}. Sell at 38.30 (34266338). [5, -192.31].
[34269600] {2, 100, 2}.   Buy at 38.36 (34269511). [6, -230.67].
[34270800] {2, 100, 2}.   Buy at 38.36 (34270566). [7, -269.03].
[34273800] {2, 100, 2}.   Buy at 38.36 (34273789). [8, -307.39].
[34298400] {2, -100, 2}. Sell at 38.31 (34298187). [7, -269.08].
[34309200] {2, 100, 2}.   Buy at 38.35 (34308919). [8, -307.43].
[34313400] {2, 100, 2}.   Buy at 38.36 (34313346). [9, -345.79].
[34321200] {2, 300, 2}.   Buy at 38.37 (34321187). [10, -384.16].
[34321800] {2, -200, 2}. Sell at 38.33 (34321433). [9, -345.83].
[34333200] {2, 100, 2}.   Buy at 38.37 (34333080). [10, -384.20].
[34350600] {2, 100, 2}.   Buy at 38.39 (34350373). [11, -422.59].
[34375200] {2, -100, 2}. Sell at 38.34 (34374917). [10, -384.25].
[34381800] {2, 100, 2}.   Buy at 38.39 (34381799). [11, -422.64].
[34390200] {2, 100, 2}.   Buy at 38.40 (34390089). [12, -461.04].
[34396200] {2, 100, 2}.   Buy at 38.42 (34396188). [13, -499.46].
[34467000] {2, 100, 2}.   Buy at 38.46 (34466554). [14, -537.92].
[34489200] {1, -100, 1}. Sell at 38.43 (34488884). [13, -499.49].
[34506600] {2, 100, 2}.   Buy at 38.45 (34506549). [14, -537.94].
[34537800] {2, 200, 2}.   Buy at 38.46 (34537712). [15, -576.40].
[34538400] {2, -100, 2}. Sell at 38.44 (34538395). [14, -537.96].
[34543800] {2, -100, 2}. Sell at 38.43 (34543686). [13, -499.53].
[34546200] {2, 100, 2}.   Buy at 38.45 (34546157). [14, -537.98].
[34552800] {2, -100, 2}. Sell at 38.43 (34552756). [13, -499.55].
[34602600] {2, 100, 2}.   Buy at 38.41 (34602458). [14, -537.96].
[34616400] {2, -100, 2}. Sell at 38.38 (34616137). [13, -499.58].
[34649400] {2, 100, 2}.   Buy at 38.39 (34649128). [14, -537.97].
[34684800] {1, -100, 1}. Sell at 38.39 (34684360). [13, -499.58].
[34726200] {2, -200, 2}. Sell at 38.37 (34726197). [12, -461.21].
[34816800] {2, 100, 2}.   Buy at 38.38 (34816774). [13, -499.59].
[34939200] {2, 200, 2}.   Buy at 38.40 (34939065). [14, -537.99].
[34954800] {2, -100, 2}. Sell at 38.40 (34954618). [13, -499.59].
[34974000] {3, 100, 3}.   Buy at 38.43 (34973848). [14, -538.02].
