[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34202000] {3, 300, 3}.   Buy at 110.47 (34201741). [1, -110.47].
[34204000] {2, -200, 2}. Sell at 110.38 (34203987). [0, -0.09].
[34206000] {3, -100, 3}. Sell at 110.32 (34205880). [-1, 110.23].
[34214000] {1, -300, 1}. Sell at 110.40 (34213524). [-2, 220.63].
[34221000] {4, 300, 4}.   Buy at 110.40 (34220660). [-1, 110.23].
[34225000] {1, 100, 1}.   Buy at 110.47 (34224801). [0, -0.24].
[34227000] {1, -200, 1}. Sell at 110.37 (34226834). [-1, 110.13].
[34235000] {1, 100, 1}.   Buy at 110.42 (34234919). [0, -0.29].
[34242000] {1, 200, 1}.   Buy at 110.42 (34241518). [1, -110.71].
[34243000] {1, 300, 1}.   Buy at 110.42 (34242947). [2, -221.13].
[34244000] {1, 400, 1}.   Buy at 110.42 (34243977). [3, -331.55].
[34245000] {1, 400, 1}.   Buy at 110.42 (34244703). [4, -441.97].
[34246000] {1, -300, 1}. Sell at 110.31 (34245887). [3, -331.66].
[34248000] {1, 200, 1}.   Buy at 110.42 (34247243). [4, -442.08].
[34249000] {1, 100, 1}.   Buy at 110.42 (34248263). [5, -552.50].
[34250000] {1, 200, 1}.   Buy at 110.42 (34249371). [6, -662.92].
[34252000] {1, 200, 1}.   Buy at 110.42 (34251873). [7, -773.34].
[34253000] {1, 300, 1}.   Buy at 110.42 (34252894). [8, -883.76].
[34254000] {1, 400, 1}.   Buy at 110.47 (34253992). [9, -994.23].
[34255000] {1, 200, 1}.   Buy at 110.47 (34254984). [10, -1104.70].
[34261000] {3, 100, 3}.   Buy at 110.47 (34260994). [11, -1215.17].
[34263000] {1, 400, 1}.   Buy at 110.47 (34262966). [12, -1325.64].
[34269000] {2, 100, 2}.   Buy at 110.47 (34268758). [13, -1436.11].
[34282000] {1, 100, 1}.   Buy at 110.50 (34281959). [14, -1546.61].
[34296000] {1, 100, 1}.   Buy at 110.50 (34295911). [15, -1657.11].
[34297000] {1, 300, 1}.   Buy at 110.50 (34296986). [16, -1767.61].
[34303000] {1, -200, 1}. Sell at 110.43 (34302589). [15, -1657.18].
[34308000] {1, 100, 1}.   Buy at 110.50 (34307962). [16, -1767.68].
[34314000] {1, 100, 1}.   Buy at 110.50 (34313033). [17, -1878.18].
[34323000] {1, 100, 1}.   Buy at 110.50 (34322032). [18, -1988.68].
[34330000] {3, 100, 3}.   Buy at 110.49 (34329747). [19, -2099.17].
[34353000] {1, 100, 1}.   Buy at 110.59 (34352996). [20, -2209.76].
[34356000] {1, 100, 1}.   Buy at 110.59 (34355700). [21, -2320.35].
[34357000] {1, 100, 1}.   Buy at 110.59 (34356885). [22, -2430.94].
