[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34787202] {4, 0, 4}. MO buy arrived. Sell at 35.16 (34787202). [-1, 35.16].
[37894263] {1, 0, 1}. MO buy arrived. Sell at 35.41 (37894263). [-2, 70.57].
[37900720] {1, 400, 2}. MO buy arrived. Sell at 35.45 (37900720). [-3, 106.02].
[37957618] {4, 0, 4}. MO sell arrived. Buy at 35.71 (37957618). [-2, 70.31].
[37970653] {3, 0, 4}. MO sell arrived. Buy at 35.69 (37970653). [-1, 34.62].
[37990944] {2, 0, 2}. MO sell arrived. Buy at 35.61 (37990944). [0, -0.99].
[37994967] {3, 200, 3}. MO buy arrived. Sell at 35.48 (37994967). [-1, 34.49].
[37997169] {4, 200, 4}. MO buy arrived. Sell at 35.52 (37997169). [-2, 70.01].
[38476769] {4, -300, 3}. MO buy arrived. Sell at 35.56 (38476769). [-3, 105.57].
[38662914] {1, 0, 1}. MO sell arrived. Buy at 35.65 (38662914). [-2, 69.92].
[38773796] {4, 200, 4}. MO buy arrived. Sell at 35.48 (38773796). [-3, 105.40].
[38843265] {4, 100, 4}. MO buy arrived. Sell at 35.47 (38843265). [-4, 140.87].
[39411718] {4, 0, 4}. MO buy arrived. Sell at 35.54 (39411718). [-5, 176.41].
[39462249] {3, 200, 4}. MO buy arrived. Sell at 35.61 (39462249). [-6, 212.02].
[39501401] {1, 0, 4}. MO buy arrived. Sell at 35.60 (39501401). [-7, 247.62].
[39707090] {1, -300, 4}. MO sell arrived. Buy at 35.70 (39707090). [-6, 211.92].
[39721056] {3, 0, 1}. MO buy arrived. Sell at 35.51 (39721056). [-7, 247.43].
[40517668] {3, 200, 4}. MO buy arrived. Sell at 35.66 (40517668). [-8, 283.09].
[40517668] {3, 200, 4}. MO buy arrived. Sell at 35.66 (40517668). [-9, 318.75].
[40545088] {2, 200, 4}. MO buy arrived. Sell at 35.70 (40545088). [-10, 354.45].
[40881861] {3, 200, 4}. MO buy arrived. Sell at 35.69 (40881861). [-11, 390.14].
[40881864] {3, 200, 4}. MO buy arrived. Sell at 35.71 (40881864). [-12, 425.85].
[40917062] {3, 0, 4}. MO buy arrived. Sell at 35.72 (40917062). [-13, 461.57].
[40918026] {4, 0, 4}. MO buy arrived. Sell at 35.75 (40918026). [-14, 497.32].
[41511476] {3, 0, 3}. MO sell arrived. Buy at 35.82 (41511476). [-13, 461.50].
[41511479] {3, 0, 3}. MO buy arrived. Sell at 35.80 (41511479). [-14, 497.30].
[41512560] {3, 100, 3}. MO buy arrived. Sell at 35.81 (41512560). [-15, 533.11].
[41513056] {3, 100, 3}. MO buy arrived. Sell at 35.82 (41513056). [-16, 568.93].
[41542456] {2, 100, 1}. MO buy arrived. Sell at 35.86 (41542456). [-17, 604.79].
[41542456] {2, 100, 1}. MO buy arrived. Sell at 35.86 (41542456). [-18, 640.65].
[41556108] {2, 0, 2}. MO buy arrived. Sell at 35.86 (41556108). [-19, 676.51].
[41631975] {2, 100, 2}. MO buy arrived. Sell at 35.86 (41631975). [-20, 712.37].
[42066242] {2, 0, 2}. MO sell arrived. Buy at 35.97 (42066242). [-19, 676.40].
[43136121] {3, 0, 3}. MO buy arrived. Sell at 35.89 (43136121). [-20, 712.29].
[43136121] {3, 0, 3}. MO buy arrived. Sell at 35.89 (43136121). [-21, 748.18].
[43532661] {2, 100, 3}. MO buy arrived. Sell at 35.91 (43532661). [-22, 784.09].
[43532664] {2, 100, 3}. MO buy arrived. Sell at 35.92 (43532664). [-23, 820.01].
[43568008] {3, 0, 3}. MO buy arrived. Sell at 35.91 (43568008). [-24, 855.92].
[43568015] {3, 0, 3}. MO buy arrived. Sell at 35.93 (43568015). [-25, 891.85].
[43571636] {3, 0, 3}. MO sell arrived. Buy at 36.05 (43571636). [-24, 855.80].
[45965527] {4, 0, 4}. MO sell arrived. Buy at 36.18 (45965527). [-23, 819.62].
[46515286] {2, 0, 3}. MO sell arrived. Buy at 36.19 (46515286). [-22, 783.43].
[46527659] {4, -300, 3}. MO sell arrived. Buy at 36.19 (46527659). [-21, 747.24].
[46527665] {4, -300, 3}. MO sell arrived. Buy at 36.19 (46527665). [-20, 711.05].
