[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34202678] {2, 0, 2}. MO sell arrived. Buy at 110.47 (34202678). [1, -110.47].
[34203987] {2, -200, 2}. MO sell arrived. Buy at 110.47 (34203987). [2, -220.94].
[34204178] {2, -200, 2}. MO sell arrived. Buy at 110.47 (34204178). [3, -331.41].
[34204182] {2, -200, 2}. MO sell arrived. Buy at 110.47 (34204182). [4, -441.88].
[34219123] {1, -500, 3}. MO sell arrived. Buy at 110.47 (34219123). [5, -552.35].
[34219125] {1, -500, 3}. MO buy arrived. Sell at 110.35 (34219125). [4, -442.00].
[34229700] {2, 0, 2}. MO sell arrived. Buy at 110.46 (34229700). [5, -552.46].
[34233443] {1, 0, 1}. MO buy arrived. Sell at 110.34 (34233443). [4, -442.12].
[34241299] {1, 200, 1}. MO buy arrived. Sell at 110.35 (34241299). [3, -331.77].
[34278365] {1, 0, 2}. MO sell arrived. Buy at 110.50 (34278365). [4, -442.27].
[34278369] {1, 0, 2}. MO sell arrived. Buy at 110.49 (34278369). [5, -552.76].
[34301743] {1, 0, 1}. MO sell arrived. Buy at 110.50 (34301743). [6, -663.26].
[34316006] {1, 0, 1}. MO buy arrived. Sell at 110.45 (34316006). [5, -552.81].
[34330006] {2, 300, 2}. MO buy arrived. Sell at 110.48 (34330006). [4, -442.33].
[34330006] {2, 300, 2}. MO buy arrived. Sell at 110.48 (34330006). [3, -331.85].
[34330008] {2, 300, 2}. MO buy arrived. Sell at 110.48 (34330008). [2, -221.37].
[34330010] {2, 300, 2}. MO buy arrived. Sell at 110.49 (34330010). [1, -110.88].
[34330011] {2, 300, 2}. MO buy arrived. Sell at 110.50 (34330011). [0, -0.38].
[34330011] {2, 300, 2}. MO buy arrived. Sell at 110.50 (34330011). [-1, 110.12].
[34334259] {2, 0, 2}. MO sell arrived. Buy at 110.52 (34334259). [0, -0.40].
[34340319] {2, 0, 2}. MO buy arrived. Sell at 110.50 (34340319). [-1, 110.10].
[34358689] {1, 100, 1}. MO buy arrived. Sell at 110.55 (34358689). [-2, 220.65].
[34359111] {1, -400, 1}. MO sell arrived. Buy at 110.58 (34359111). [-1, 110.07].
[34381534] {2, 0, 2}. MO buy arrived. Sell at 110.51 (34381534). [-2, 220.58].
[34382867] {2, 200, 2}. MO buy arrived. Sell at 110.54 (34382867). [-3, 331.12].
[34391199] {2, 100, 2}. MO buy arrived. Sell at 110.54 (34391199). [-4, 441.66].
[34391200] {2, 100, 2}. MO buy arrived. Sell at 110.54 (34391200). [-5, 552.20].
[34391447] {2, 100, 2}. MO buy arrived. Sell at 110.56 (34391447). [-6, 662.76].
[34391531] {2, 100, 2}. MO buy arrived. Sell at 110.56 (34391531). [-7, 773.32].
[34392763] {2, 0, 3}. MO buy arrived. Sell at 110.53 (34392763). [-8, 883.85].
[34393719] {3, 0, 3}. MO buy arrived. Sell at 110.53 (34393719). [-9, 994.38].
[34394364] {3, 400, 3}. MO buy arrived. Sell at 110.56 (34394364). [-10, 1104.94].
[34394906] {3, 0, 1}. MO sell arrived. Buy at 110.59 (34394906). [-9, 994.35].
[34396241] {1, 0, 1}. MO buy arrived. Sell at 110.57 (34396241). [-10, 1104.92].
[34396241] {1, 0, 1}. MO buy arrived. Sell at 110.57 (34396241). [-11, 1215.49].
[34396313] {1, 0, 1}. MO buy arrived. Sell at 110.57 (34396313). [-12, 1326.06].
[34396363] {1, 0, 1}. MO buy arrived. Sell at 110.57 (34396363). [-13, 1436.63].
[34396413] {1, 100, 2}. MO buy arrived. Sell at 110.57 (34396413). [-14, 1547.20].
[34396415] {1, 100, 2}. MO buy arrived. Sell at 110.57 (34396415). [-15, 1657.77].
[34396456] {1, 100, 2}. MO buy arrived. Sell at 110.58 (34396456). [-16, 1768.35].
[34399492] {2, 0, 2}. MO sell arrived. Buy at 110.60 (34399492). [-15, 1657.75].
[34399494] {2, 0, 2}. MO sell arrived. Buy at 110.59 (34399494). [-14, 1547.16].
[34399495] {2, 0, 2}. MO sell arrived. Buy at 110.58 (34399495). [-13, 1436.58].
[34402057] {2, 100, 2}. MO buy arrived. Sell at 110.55 (34402057). [-14, 1547.13].
[34409081] {2, 0, 2}. MO sell arrived. Buy at 110.60 (34409081). [-13, 1436.53].
