[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34202895] {2, 1800, 2}. MO sell arrived. Buy at 895.93 (34202895). [1, -895.93].
[34202896] {2, 1800, 2}. MO sell arrived. Buy at 895.75 (34202896). [2, -1791.68].
[34227059] {2, 3700, 2}. MO sell arrived. Buy at 894.04 (34227059). [3, -2685.72].
[34227060] {2, 3700, 2}. MO sell arrived. Buy at 894.04 (34227060). [4, -3579.76].
[34235295] {2, 800, 2}. MO sell arrived. Buy at 894.30 (34235295). [5, -4474.06].
[34235296] {2, 800, 2}. MO sell arrived. Buy at 894.30 (34235296). [6, -5368.36].
[34253617] {2, -2100, 2}. MO buy arrived. Sell at 897.00 (34253617). [5, -4471.36].
[34337820] {1, -100, 1}. MO buy arrived. Sell at 899.00 (34337820). [4, -3572.36].
[34337827] {1, -100, 1}. MO buy arrived. Sell at 899.01 (34337827). [3, -2673.35].
[34337829] {1, -100, 1}. MO buy arrived. Sell at 899.20 (34337829). [2, -1774.15].
[34337839] {1, -100, 1}. MO buy arrived. Sell at 899.20 (34337839). [1, -874.95].
[34337841] {1, -100, 1}. MO buy arrived. Sell at 899.22 (34337841). [0, 24.27].
[34350606] {1, 600, 1}. MO sell arrived. Buy at 899.17 (34350606). [1, -874.90].
[34350779] {1, 600, 1}. MO sell arrived. Buy at 899.17 (34350779). [2, -1774.07].
[34371409] {1, 100, 1}. MO sell arrived. Buy at 898.65 (34371409). [3, -2672.72].
[34415539] {3, 1100, 3}. MO sell arrived. Buy at 898.43 (34415539). [4, -3571.15].
[34415541] {3, 1100, 3}. MO sell arrived. Buy at 898.37 (34415541). [5, -4469.52].
[34432211] {1, -100, 1}. MO buy arrived. Sell at 899.35 (34432211). [4, -3570.17].
[34437914] {2, -700, 2}. MO buy arrived. Sell at 898.58 (34437914). [3, -2671.59].
[34437915] {2, -700, 2}. MO buy arrived. Sell at 899.27 (34437915). [2, -1772.32].
[34437915] {2, -700, 2}. MO buy arrived. Sell at 899.27 (34437915). [1, -873.05].
[34437930] {2, -700, 2}. MO buy arrived. Sell at 898.60 (34437930). [0, 25.55].
[34437937] {2, -700, 2}. MO buy arrived. Sell at 898.60 (34437937). [-1, 924.15].
[34437979] {2, -700, 2}. MO buy arrived. Sell at 898.58 (34437979). [-2, 1822.73].
[34437998] {2, -700, 2}. MO buy arrived. Sell at 898.78 (34437998). [-3, 2721.51].
[34567951] {1, 1200, 1}. MO sell arrived. Buy at 903.63 (34567951). [-2, 1817.88].
[34567952] {1, 1200, 1}. MO sell arrived. Buy at 903.48 (34567952). [-1, 914.40].
[34574007] {2, 200, 2}. MO sell arrived. Buy at 903.66 (34574007). [0, 10.74].
[34592356] {2, 100, 2}. MO sell arrived. Buy at 903.78 (34592356). [1, -893.04].
[34610174] {2, -3900, 2}. MO buy arrived. Sell at 903.17 (34610174). [0, 10.13].
[34610174] {2, -3900, 2}. MO buy arrived. Sell at 903.17 (34610174). [-1, 913.30].
[34705600] {2, 1600, 2}. MO sell arrived. Buy at 900.53 (34705600). [0, 12.77].
[34705622] {2, 1600, 2}. MO sell arrived. Buy at 900.70 (34705622). [1, -887.93].
[34705622] {2, 1600, 2}. MO sell arrived. Buy at 900.70 (34705622). [2, -1788.63].
[34705623] {2, 1600, 2}. MO sell arrived. Buy at 900.70 (34705623). [3, -2689.33].
[34728404] {2, -800, 2}. MO buy arrived. Sell at 900.61 (34728404). [2, -1788.72].
[34751405] {2, 3300, 2}. MO sell arrived. Buy at 899.93 (34751405). [3, -2688.65].
[34751413] {2, 3300, 2}. MO sell arrived. Buy at 899.93 (34751413). [4, -3588.58].
[34751418] {2, 3300, 2}. MO sell arrived. Buy at 899.93 (34751418). [5, -4488.51].
[34751424] {2, 3300, 2}. MO sell arrived. Buy at 899.93 (34751424). [6, -5388.44].
[34751425] {2, 3300, 2}. MO sell arrived. Buy at 899.90 (34751425). [7, -6288.34].
[34751426] {2, 3300, 2}. MO sell arrived. Buy at 899.90 (34751426). [8, -7188.24].
[34774308] {1, 100, 1}. MO sell arrived. Buy at 899.79 (34774308). [9, -8088.03].
[34774314] {1, 100, 1}. MO sell arrived. Buy at 899.78 (34774314). [10, -8987.81].
[34774316] {1, 100, 1}. MO sell arrived. Buy at 899.74 (34774316). [11, -9887.55].
[34825436] {2, -300, 2}. MO buy arrived. Sell at 900.00 (34825436). [10, -8987.55].
[34840635] {1, 2100, 1}. MO sell arrived. Buy at 900.07 (34840635). [11, -9887.62].
[34884160] {2, -400, 2}. MO buy arrived. Sell at 901.60 (34884160). [10, -8986.02].
[34908300] {1, 2600, 1}. MO sell arrived. Buy at 901.64 (34908300). [11, -9887.66].
[34934203] {2, -1200, 2}. MO buy arrived. Sell at 901.86 (34934203). [10, -8985.80].
[34937403] {3, -400, 3}. MO buy arrived. Sell at 901.67 (34937403). [9, -8084.13].
[34937404] {3, -400, 3}. MO buy arrived. Sell at 901.67 (34937404). [8, -7182.46].
[35011300] {2, 600, 2}. MO sell arrived. Buy at 901.97 (35011300). [9, -8084.43].
[35075371] {2, -600, 2}. MO buy arrived. Sell at 903.63 (35075371). [8, -7180.80].
[35075376] {2, -600, 2}. MO buy arrived. Sell at 903.49 (35075376). [7, -6277.31].
[35084880] {2, -600, 2}. MO buy arrived. Sell at 902.83 (35084880). [6, -5374.48].
[35108434] {1, 300, 1}. MO sell arrived. Buy at 903.01 (35108434). [7, -6277.49].
[35132442] {2, 100, 2}. MO sell arrived. Buy at 902.65 (35132442). [8, -7180.14].
[35146700] {2, -1800, 2}. MO buy arrived. Sell at 902.68 (35146700). [7, -6277.46].
[35166705] {2, 1100, 2}. MO sell arrived. Buy at 902.77 (35166705). [8, -7180.23].
[35245824] {2, 100, 2}. MO sell arrived. Buy at 903.27 (35245824). [9, -8083.50].
[35246990] {3, 600, 3}. MO sell arrived. Buy at 903.44 (35246990). [10, -8986.94].
[35315715] {2, -200, 2}. MO buy arrived. Sell at 902.87 (35315715). [9, -8084.07].
[35315717] {2, -200, 2}. MO buy arrived. Sell at 903.00 (35315717). [8, -7181.07].
[35315717] {2, -200, 2}. MO buy arrived. Sell at 903.00 (35315717). [7, -6278.07].
[35333655] {2, 300, 2}. MO sell arrived. Buy at 903.10 (35333655). [8, -7181.17].
[35369330] {2, -200, 2}. MO buy arrived. Sell at 903.00 (35369330). [7, -6278.17].
[35369339] {2, -200, 2}. MO buy arrived. Sell at 903.17 (35369339). [6, -5375.00].
[35369339] {2, -200, 2}. MO buy arrived. Sell at 903.17 (35369339). [5, -4471.83].
[35369346] {2, -200, 2}. MO buy arrived. Sell at 903.22 (35369346). [4, -3568.61].
[35369348] {2, -200, 2}. MO buy arrived. Sell at 903.27 (35369348). [3, -2665.34].
[35414315] {3, 500, 3}. MO sell arrived. Buy at 903.32 (35414315). [4, -3568.66].
[35429038] {3, -1000, 3}. MO buy arrived. Sell at 903.98 (35429038). [3, -2664.68].
[35429096] {3, -1000, 3}. MO buy arrived. Sell at 903.98 (35429096). [2, -1760.70].
[35452740] {1, -2800, 1}. MO buy arrived. Sell at 904.78 (35452740). [1, -855.92].
[35456533] {3, 1500, 3}. MO sell arrived. Buy at 904.70 (35456533). [2, -1760.62].
[35456801] {2, 1000, 2}. MO sell arrived. Buy at 904.55 (35456801). [3, -2665.17].
[35457426] {3, -2700, 3}. MO buy arrived. Sell at 904.92 (35457426). [2, -1760.25].
[35457426] {3, -2700, 3}. MO buy arrived. Sell at 904.92 (35457426). [1, -855.33].
[35467031] {2, 1000, 2}. MO sell arrived. Buy at 904.61 (35467031). [2, -1759.94].
[35520000] {2, -600, 2}. MO buy arrived. Sell at 904.91 (35520000). [1, -855.03].
[35521259] {1, -300, 1}. MO buy arrived. Sell at 905.01 (35521259). [0, 49.98].
[35521262] {1, -300, 1}. MO buy arrived. Sell at 905.01 (35521262). [-1, 954.99].
[35521264] {1, -300, 1}. MO buy arrived. Sell at 905.05 (35521264). [-2, 1860.04].
[35521283] {1, -300, 1}. MO buy arrived. Sell at 905.07 (35521283). [-3, 2765.11].
[35521785] {1, 1200, 1}. MO sell arrived. Buy at 904.84 (35521785). [-2, 1860.27].
[35565954] {1, -600, 1}. MO buy arrived. Sell at 905.75 (35565954). [-3, 2766.02].
[35565956] {1, -600, 1}. MO buy arrived. Sell at 905.81 (35565956). [-4, 3671.83].
[35570408] {3, 500, 3}. MO sell arrived. Buy at 905.82 (35570408). [-3, 2766.01].
[35570478] {3, 500, 3}. MO sell arrived. Buy at 905.68 (35570478). [-2, 1860.33].
[35570478] {3, 500, 3}. MO sell arrived. Buy at 905.68 (35570478). [-1, 954.65].
