[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34558400] {3, 100, 3}.   Buy at 35.25 (34558373). [1, -35.25].
[34563400] {3, 200, 3}.   Buy at 35.25 (34563363). [2, -70.50].
[34567000] {3, 200, 3}.   Buy at 35.25 (34566974). [3, -105.75].
[34568700] {3, 100, 3}.   Buy at 35.25 (34568699). [4, -141.00].
[34573200] {3, 200, 3}.   Buy at 35.25 (34573132). [5, -176.25].
[34787202] {4, 0, 4}. MO buy arrived. Sell at 35.16 (34787202). [4, -141.09].
[34787300] {4, 200, 4}.   Buy at 35.46 (34787279). [5, -176.55].
[34787400] {4, 100, 4}.   Buy at 35.46 (34787377). [6, -212.01].
[34787500] {4, 100, 4}.   Buy at 35.46 (34787498). [7, -247.47].
[34792500] {4, 300, 4}.   Buy at 35.50 (34792469). [8, -282.97].
[34793300] {4, 200, 4}.   Buy at 35.50 (34793240). [9, -318.47].
[34802500] {4, 100, 4}.   Buy at 35.50 (34802492). [10, -353.97].
[34818500] {4, 100, 4}.   Buy at 35.50 (34818491). [11, -389.47].
[34827300] {4, 200, 4}.   Buy at 35.50 (34827287). [12, -424.97].
[34834600] {4, 200, 4}.   Buy at 35.50 (34834597). [13, -460.47].
[34850400] {3, 200, 3}.   Buy at 35.64 (34850400). [14, -496.11].
[34901100] {2, 100, 2}.   Buy at 35.74 (34901085). [15, -531.85].
[35155600] {1, 700, 1}.   Buy at 35.44 (35155522). [16, -567.29].
[35194400] {2, 100, 2}.   Buy at 35.53 (35194400). [17, -602.82].
[35194800] {2, -100, 2}. Sell at 35.26 (35194746). [16, -567.56].
[35295900] {4, 100, 4}.   Buy at 35.48 (35295888). [17, -603.04].
[35316700] {3, 100, 3}.   Buy at 35.52 (35316666). [18, -638.56].
[35373200] {1, -1000, 1}. Sell at 35.23 (35373146). [17, -603.33].
[35388800] {3, 200, 3}.   Buy at 35.51 (35388719). [18, -638.84].
[35389500] {3, -100, 3}. Sell at 35.29 (35389436). [17, -603.55].
[35394500] {3, 100, 3}.   Buy at 35.51 (35394441). [18, -639.06].
[35412100] {3, -400, 3}. Sell at 35.27 (35412048). [17, -603.79].
[35703900] {4, 100, 4}.   Buy at 35.48 (35703816). [18, -639.27].
[35716900] {4, 200, 4}.   Buy at 35.51 (35716877). [19, -674.78].
[35718200] {3, -100, 3}. Sell at 35.29 (35718192). [18, -639.49].
[35756800] {4, 100, 4}.   Buy at 35.57 (35756722). [19, -675.06].
[35757300] {4, 100, 4}.   Buy at 35.57 (35757293). [20, -710.63].
[36083500] {4, 100, 4}.   Buy at 35.62 (36083492). [21, -746.25].
[36083600] {4, -100, 4}. Sell at 35.38 (36083573). [20, -710.87].
[36279300] {4, 400, 4}.   Buy at 35.59 (36279248). [21, -746.46].
[36281600] {4, -100, 4}. Sell at 35.43 (36281566). [20, -711.03].
[37202500] {4, 200, 4}.   Buy at 35.67 (37202493). [21, -746.70].
[37207500] {3, -200, 3}. Sell at 35.51 (37207493). [20, -711.19].
[37832000] {1, 400, 1}.   Buy at 35.62 (37831936). [21, -746.81].
[37861100] {1, -200, 1}. Sell at 35.42 (37861044). [20, -711.39].
[37871100] {1, -100, 1}. Sell at 35.41 (37871060). [19, -675.98].
[37894263] {1, 0, 1}. MO buy arrived. Sell at 35.41 (37894263). [18, -640.57].
[37900720] {1, 400, 2}. MO buy arrived. Sell at 35.45 (37900720). [17, -605.12].
[37900800] {2, 100, 2}.   Buy at 35.61 (37900725). [18, -640.73].
[37901700] {4, 200, 4}.   Buy at 35.61 (37901690). [19, -676.34].
[37928600] {4, 100, 4}.   Buy at 35.71 (37928571). [20, -712.05].
[37952900] {4, -100, 4}. Sell at 35.58 (37952850). [19, -676.47].
[37955100] {4, -100, 4}. Sell at 35.58 (37955011). [18, -640.89].
[37957618] {4, 0, 4}. MO sell arrived. Buy at 35.71 (37957618). [19, -676.60].
[37970653] {3, 0, 4}. MO sell arrived. Buy at 35.69 (37970653). [20, -712.29].
[37990944] {2, 0, 2}. MO sell arrived. Buy at 35.61 (37990944). [21, -747.90].
[37994967] {3, 200, 3}. MO buy arrived. Sell at 35.48 (37994967). [20, -712.42].
[37995000] {3, 200, 3}.   Buy at 35.67 (37994974). [21, -748.09].
[37997169] {4, 200, 4}. MO buy arrived. Sell at 35.52 (37997169). [20, -712.57].
[37997200] {4, 200, 4}.   Buy at 35.71 (37997177). [21, -748.28].
[38049100] {4, -200, 4}. Sell at 35.55 (38049011). [20, -712.73].
[38358000] {1, -100, 1}. Sell at 35.52 (38357928). [19, -677.21].
[38437000] {1, 400, 1}.   Buy at 35.71 (38436999). [20, -712.92].
[38476300] {1, -400, 1}. Sell at 35.52 (38476278). [19, -677.40].
[38476600] {3, -100, 3}. Sell at 35.52 (38476590). [18, -641.88].
[38476769] {4, -300, 3}. MO buy arrived. Sell at 35.56 (38476769). [17, -606.32].
[38633700] {1, 200, 1}.   Buy at 35.69 (38633657). [18, -642.01].
