[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34201600] {2, 300, 2}.   Buy at 110.47 (34201572). [1, -110.47].
[34203987] {2, -200, 2}. MO sell arrived. Buy at 110.47 (34203987). [2, -220.94].
[34204178] {2, -200, 2}. MO sell arrived. Buy at 110.47 (34204178). [3, -331.41].
[34204182] {2, -200, 2}. MO sell arrived. Buy at 110.47 (34204182). [4, -441.88].
[34204000] {2, -200, 2}. Sell at 110.38 (34203987). [3, -331.50].
[34204800] {2, -500, 2}. Sell at 110.33 (34204780). [2, -221.17].
[34205600] {2, -100, 2}. Sell at 110.32 (34205200). [1, -110.85].
[34213600] {1, -300, 1}. Sell at 110.40 (34213524). [0, -0.45].
[34219123] {1, -500, 3}. MO sell arrived. Buy at 110.47 (34219123). [1, -110.92].
[34219125] {1, -500, 3}. MO buy arrived. Sell at 110.35 (34219125). [0, -0.57].
[34220800] {3, 300, 3}.   Buy at 110.40 (34220660). [1, -110.97].
[34224800] {1, 100, 1}.   Buy at 110.47 (34224445). [2, -221.44].
[34227200] {1, 1700, 1}.   Buy at 110.47 (34226834). [3, -331.91].
[34229700] {2, 0, 2}. MO sell arrived. Buy at 110.46 (34229700). [4, -442.37].
[34233443] {1, 0, 1}. MO buy arrived. Sell at 110.34 (34233443). [3, -332.03].
[34235200] {1, 100, 1}.   Buy at 110.42 (34234919). [4, -442.45].
[34241299] {1, 200, 1}. MO buy arrived. Sell at 110.35 (34241299). [3, -332.10].
[34241600] {1, 200, 1}.   Buy at 110.42 (34241518). [4, -442.52].
[34243200] {1, 300, 1}.   Buy at 110.42 (34242947). [5, -552.94].
[34244000] {1, 400, 1}.   Buy at 110.42 (34243977). [6, -663.36].
[34244800] {1, 400, 1}.   Buy at 110.42 (34244703). [7, -773.78].
[34245600] {1, -300, 1}. Sell at 110.31 (34245083). [6, -663.47].
[34247200] {1, 300, 1}.   Buy at 110.42 (34247184). [7, -773.89].
[34248000] {1, 200, 1}.   Buy at 110.42 (34247243). [8, -884.31].
[34248800] {1, 100, 1}.   Buy at 110.42 (34248263). [9, -994.73].
[34249600] {1, 200, 1}.   Buy at 110.42 (34249371). [10, -1105.15].
[34250400] {1, 100, 1}.   Buy at 110.42 (34250397). [11, -1215.57].
[34251200] {1, 200, 1}.   Buy at 110.42 (34250447). [12, -1325.99].
[34252000] {1, 200, 1}.   Buy at 110.42 (34251873). [13, -1436.41].
[34252800] {1, 200, 1}.   Buy at 110.42 (34252601). [14, -1546.83].
