[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34202000] {3, 300, 3}.   Buy at 110.47 (34201741). [1, -110.47].
[34203987] {2, -200, 2}. MO sell arrived. Buy at 110.47 (34203987). [2, -220.94].
[34204178] {2, -200, 2}. MO sell arrived. Buy at 110.47 (34204178). [3, -331.41].
[34204182] {2, -200, 2}. MO sell arrived. Buy at 110.47 (34204182). [4, -441.88].
[34204000] {2, -200, 2}. Sell at 110.38 (34203987). [3, -331.50].
[34206000] {3, -100, 3}. Sell at 110.32 (34205880). [2, -221.18].
[34214000] {1, -300, 1}. Sell at 110.40 (34213524). [1, -110.78].
[34219123] {1, 0, 1}. MO sell arrived. Buy at 110.47 (34219123). [2, -221.25].
[34219125] {1, 0, 1}. MO buy arrived. Sell at 110.35 (34219125). [1, -110.90].
[34221000] {4, 300, 4}.   Buy at 110.40 (34220660). [2, -221.30].
[34225000] {1, 100, 1}.   Buy at 110.47 (34224801). [3, -331.77].
[34227000] {1, -200, 1}. Sell at 110.37 (34226834). [2, -221.40].
[34229700] {2, -300, 1}. MO sell arrived. Buy at 110.46 (34229700). [3, -331.86].
[34233443] {1, 0, 1}. MO buy arrived. Sell at 110.34 (34233443). [2, -221.52].
[34235000] {1, 100, 1}.   Buy at 110.42 (34234919). [3, -331.94].
[34241299] {1, 0, 1}. MO buy arrived. Sell at 110.35 (34241299). [2, -221.59].
[34242000] {1, 200, 1}.   Buy at 110.42 (34241518). [3, -332.01].
[34243000] {1, 300, 1}.   Buy at 110.42 (34242947). [4, -442.43].
[34244000] {1, 400, 1}.   Buy at 110.42 (34243977). [5, -552.85].
[34245000] {1, 400, 1}.   Buy at 110.42 (34244703). [6, -663.27].
[34246000] {1, -300, 1}. Sell at 110.31 (34245887). [5, -552.96].
[34248000] {1, 200, 1}.   Buy at 110.42 (34247243). [6, -663.38].
[34249000] {1, 100, 1}.   Buy at 110.42 (34248263). [7, -773.80].
[34250000] {1, 200, 1}.   Buy at 110.42 (34249371). [8, -884.22].
[34252000] {1, 200, 1}.   Buy at 110.42 (34251873). [9, -994.64].
[34253000] {1, 300, 1}.   Buy at 110.42 (34252894). [10, -1105.06].
[34254000] {1, 400, 1}.   Buy at 110.47 (34253992). [11, -1215.53].
[34255000] {1, 200, 1}.   Buy at 110.47 (34254984). [12, -1326.00].
[34261000] {3, 100, 3}.   Buy at 110.47 (34260994). [13, -1436.47].
[34263000] {1, 400, 1}.   Buy at 110.47 (34262966). [14, -1546.94].
[34269000] {2, 100, 2}.   Buy at 110.47 (34268758). [15, -1657.41].
[34278365] {1, 0, 1}. MO sell arrived. Buy at 110.50 (34278365). [16, -1767.91].
[34278369] {1, 0, 1}. MO sell arrived. Buy at 110.49 (34278369). [17, -1878.40].
[34282000] {1, 100, 1}.   Buy at 110.50 (34281959). [18, -1988.90].
[34296000] {1, 100, 1}.   Buy at 110.50 (34295911). [19, -2099.40].
[34297000] {1, 300, 1}.   Buy at 110.50 (34296986). [20, -2209.90].
[34301743] {1, 0, 1}. MO sell arrived. Buy at 110.50 (34301743). [21, -2320.40].
[34303000] {1, -200, 1}. Sell at 110.43 (34302589). [20, -2209.97].
[34308000] {1, 100, 1}.   Buy at 110.50 (34307962). [21, -2320.47].
[34314000] {1, 100, 1}.   Buy at 110.50 (34313033). [22, -2430.97].
[34316006] {1, 0, 1}. MO buy arrived. Sell at 110.45 (34316006). [21, -2320.52].
[34323000] {1, 100, 1}.   Buy at 110.50 (34322032). [22, -2431.02].
[34330006] {3, 100, 3}. MO buy arrived. Sell at 110.48 (34330006). [21, -2320.54].
[34330006] {3, 100, 3}. MO buy arrived. Sell at 110.48 (34330006). [20, -2210.06].
[34330008] {3, 100, 3}. MO buy arrived. Sell at 110.48 (34330008). [19, -2099.58].
[34330010] {3, 100, 3}. MO buy arrived. Sell at 110.49 (34330010). [18, -1989.09].
[34330011] {3, 100, 3}. MO buy arrived. Sell at 110.50 (34330011). [17, -1878.59].
